"","Units","scenario","region","sector","year","value","rundate"
"1","MTC","Reference","Africa_Eastern","H2 central production",2025,0.0331869,2024-02-25 19:37:56
"2","MTC","Reference","Africa_Eastern","H2 central production",2030,0.29194891,2024-02-25 19:37:56
"3","MTC","Reference","Africa_Eastern","H2 central production",2035,0.81894653,2024-02-25 19:37:56
"4","MTC","Reference","Africa_Eastern","H2 central production",2040,1.55234778,2024-02-25 19:37:56
"5","MTC","Reference","Africa_Eastern","H2 central production",2045,2.5470631,2024-02-25 19:37:56
"6","MTC","Reference","Africa_Eastern","H2 central production",2050,3.93451395,2024-02-25 19:37:56
"7","MTC","Reference","Africa_Eastern","H2 central production",2055,5.54413363,2024-02-25 19:37:56
"8","MTC","Reference","Africa_Eastern","H2 central production",2060,7.38981776,2024-02-25 19:37:56
"9","MTC","Reference","Africa_Eastern","H2 central production",2065,9.2966436,2024-02-25 19:37:56
"10","MTC","Reference","Africa_Eastern","H2 central production",2070,11.1440921,2024-02-25 19:37:56
"11","MTC","Reference","Africa_Eastern","H2 central production",2075,12.787999,2024-02-25 19:37:56
"12","MTC","Reference","Africa_Eastern","H2 central production",2080,13.984445,2024-02-25 19:37:56
"13","MTC","Reference","Africa_Eastern","H2 central production",2085,14.741161,2024-02-25 19:37:56
"14","MTC","Reference","Africa_Eastern","H2 central production",2090,15.189712,2024-02-25 19:37:56
"15","MTC","Reference","Africa_Eastern","H2 central production",2095,15.520543,2024-02-25 19:37:56
"16","MTC","Reference","Africa_Eastern","H2 central production",2100,15.76728,2024-02-25 19:37:56
"17","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2025,0.00824182,2024-02-25 19:37:56
"18","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2030,0.05779425,2024-02-25 19:37:56
"19","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2035,0.21066304,2024-02-25 19:37:56
"20","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2040,0.45167316,2024-02-25 19:37:56
"21","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2045,0.8017352,2024-02-25 19:37:56
