"","Units","scenario","region","sector","year","value","rundate"
"1","MTC","Policytest","Africa_Eastern","H2 central production",2025,0.0324907,2024-03-25 15:02:00
"2","MTC","Policytest","Africa_Eastern","H2 central production",2030,0.21109553,2024-03-25 15:02:00
"3","MTC","Policytest","Africa_Eastern","H2 central production",2035,0.54688919,2024-03-25 15:02:00
"4","MTC","Policytest","Africa_Eastern","H2 central production",2040,0.96938414,2024-03-25 15:02:00
"5","MTC","Policytest","Africa_Eastern","H2 central production",2045,1.49647337,2024-03-25 15:02:00
"6","MTC","Policytest","Africa_Eastern","H2 central production",2050,2.19389257,2024-03-25 15:02:00
"7","MTC","Policytest","Africa_Eastern","H2 central production",2055,3.05420694,2024-03-25 15:02:00
"8","MTC","Policytest","Africa_Eastern","H2 central production",2060,4.12311975,2024-03-25 15:02:00
"9","MTC","Policytest","Africa_Eastern","H2 central production",2065,5.3117189,2024-03-25 15:02:00
"10","MTC","Policytest","Africa_Eastern","H2 central production",2070,6.6076699,2024-03-25 15:02:00
"11","MTC","Policytest","Africa_Eastern","H2 central production",2075,7.9797686,2024-03-25 15:02:00
"12","MTC","Policytest","Africa_Eastern","H2 central production",2080,9.3167317,2024-03-25 15:02:00
"13","MTC","Policytest","Africa_Eastern","H2 central production",2085,10.636414,2024-03-25 15:02:00
"14","MTC","Policytest","Africa_Eastern","H2 central production",2090,11.92473,2024-03-25 15:02:00
"15","MTC","Policytest","Africa_Eastern","H2 central production",2095,13.032253,2024-03-25 15:02:00
"16","MTC","Policytest","Africa_Eastern","H2 central production",2100,14.013898,2024-03-25 15:02:00
"17","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2025,0.00824598,2024-03-25 15:02:00
"18","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2030,0.04903095,2024-03-25 15:02:00
"19","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2035,0.1697471,2024-03-25 15:02:00
"20","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2040,0.34481972,2024-03-25 15:02:00
"21","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2045,0.5712565,2024-03-25 15:02:00
"22","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2050,0.8688314,2024-03-25 15:02:00
"23","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2055,1.243042,2024-03-25 15:02:00
"24","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2060,1.767585,2024-03-25 15:02:00
"25","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2065,2.495051,2024-03-25 15:02:00
"26","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2070,3.486389,2024-03-25 15:02:00
"27","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2075,4.75535,2024-03-25 15:02:00
"28","MTC","Policytest","Africa_Eastern","H2 wholesale dispensing",2080,6.216793,2024-03-25 15:02:00
