"","Units","scenario","region","sector","input","year","value","rundate"
"1","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2025,3.820061e-05,2024-02-05 11:54:21
"2","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2030,0.0002932308731,2024-02-05 11:54:21
"3","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2035,0.0007593662674,2024-02-05 11:54:21
"4","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2040,0.0013587547782,2024-02-05 11:54:21
"5","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2045,0.0021719649713,2024-02-05 11:54:21
"6","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2050,0.003313187559,2024-02-05 11:54:21
"7","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2055,0.0046853823081,2024-02-05 11:54:21
"8","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2060,0.0062785092206,2024-02-05 11:54:21
"9","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2065,0.007876252386,2024-02-05 11:54:21
"10","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2070,0.009399868729,2024-02-05 11:54:21
"11","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2075,0.010706549481,2024-02-05 11:54:21
"12","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2080,0.01170280166,2024-02-05 11:54:21
"13","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2085,0.01265832167,2024-02-05 11:54:21
"14","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2090,0.0134755505,2024-02-05 11:54:21
"15","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2095,0.01392909159,2024-02-05 11:54:21
"16","EJ","Reference","Africa_Eastern","H2 central production","elect_td_ind",2100,0.01431961944,2024-02-05 11:54:21
"17","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2025,0.000315224,2024-02-05 11:54:21
"18","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2030,0.00078369562,2024-02-05 11:54:21
"19","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2035,0.00215900831,2024-02-05 11:54:21
"20","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2040,0.00478310342,2024-02-05 11:54:21
"21","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2045,0.0089671568,2024-02-05 11:54:21
"22","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2050,0.0151212295,2024-02-05 11:54:21
"23","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2055,0.023261756,2024-02-05 11:54:21
"24","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2060,0.03296368,2024-02-05 11:54:21
"25","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2065,0.043527486,2024-02-05 11:54:21
"26","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2070,0.054135115,2024-02-05 11:54:21
"27","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2075,0.06360221,2024-02-05 11:54:21
"28","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2080,0.07211469,2024-02-05 11:54:21
"29","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2085,0.0794859,2024-02-05 11:54:21
"30","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2090,0.08648151,2024-02-05 11:54:21
"31","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2095,0.09399049,2024-02-05 11:54:21
"32","EJ","Reference","Africa_Eastern","H2 industrial","elect_td_ind",2100,0.10004609,2024-02-05 11:54:21
"33","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2025,0.000198792,2024-02-05 11:54:21
"34","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2030,0.000695897,2024-02-05 11:54:21
"35","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2035,0.00203183,2024-02-05 11:54:21
"36","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2040,0.00391649,2024-02-05 11:54:21
"37","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2045,0.00648093,2024-02-05 11:54:21
"38","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2050,0.01016,2024-02-05 11:54:21
"39","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2055,0.0147723,2024-02-05 11:54:21
"40","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2060,0.0203693,2024-02-05 11:54:21
"41","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2065,0.0268961,2024-02-05 11:54:21
"42","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2070,0.0335637,2024-02-05 11:54:21
"43","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2075,0.0396678,2024-02-05 11:54:21
"44","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2080,0.0446611,2024-02-05 11:54:21
"45","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2085,0.0488774,2024-02-05 11:54:21
"46","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2090,0.0522455,2024-02-05 11:54:21
"47","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2095,0.0544615,2024-02-05 11:54:21
"48","EJ","Reference","Africa_Eastern","H2 liquid truck","elect_td_ind",2100,0.0559248,2024-02-05 11:54:21
"49","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2025,1.40539e-05,2024-02-05 11:54:21
"50","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2030,0.000162924,2024-02-05 11:54:21
"51","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2035,0.000447605,2024-02-05 11:54:21
"52","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2040,0.000852066,2024-02-05 11:54:21
"53","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2045,0.00143944,2024-02-05 11:54:21
"54","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2050,0.00229376,2024-02-05 11:54:21
"55","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2055,0.0033698,2024-02-05 11:54:21
"56","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2060,0.004626,2024-02-05 11:54:21
"57","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2065,0.00596856,2024-02-05 11:54:21
"58","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2070,0.00729185,2024-02-05 11:54:21
"59","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2075,0.008496,2024-02-05 11:54:21
"60","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2080,0.00946576,2024-02-05 11:54:21
"61","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2085,0.0102555,2024-02-05 11:54:21
"62","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2090,0.0108259,2024-02-05 11:54:21
"63","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2095,0.0110901,2024-02-05 11:54:21
"64","EJ","Reference","Africa_Eastern","H2 pipeline","elect_td_ind",2100,0.0111876,2024-02-05 11:54:21
