"","Units","scenario","region","sector","input","year","value","rundate"
"1","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2025,3.793451e-05,2024-03-25 13:48:39
"2","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2030,0.0002414123703,2024-03-25 13:48:39
"3","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2035,0.0005828060098,2024-03-25 13:48:39
"4","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2040,0.0009912331305,2024-03-25 13:48:39
"5","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2045,0.0015081232316,2024-03-25 13:48:39
"6","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2050,0.0022229408503,2024-03-25 13:48:39
"7","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2055,0.0030992318739,2024-03-25 13:48:39
"8","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2060,0.0042088395303,2024-03-25 13:48:39
"9","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2065,0.0054259224293,2024-03-25 13:48:39
"10","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2070,0.006751778626,2024-03-25 13:48:39
"11","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2075,0.008107165182,2024-03-25 13:48:39
"12","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2080,0.009348654941,2024-03-25 13:48:39
"13","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2085,0.01061628716,2024-03-25 13:48:39
"14","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2090,0.01189306625,2024-03-25 13:48:39
"15","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2095,0.01294401,2024-03-25 13:48:39
"16","EJ","Policytest","Africa_Eastern","H2 central production","elect_td_ind",2100,0.01395947296,2024-03-25 13:48:39
"17","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2025,0.000315126,2024-03-25 13:48:39
"18","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2030,0.00066826467,2024-03-25 13:48:39
"19","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2035,0.00163625497,2024-03-25 13:48:39
"20","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2040,0.0033620429,2024-03-25 13:48:39
"21","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2045,0.0059950958,2024-03-25 13:48:39
"22","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2050,0.0098024461,2024-03-25 13:48:39
"23","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2055,0.0147644754,2024-03-25 13:48:39
"24","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2060,0.020780263,2024-03-25 13:48:39
"25","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2065,0.027855907,2024-03-25 13:48:39
"26","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2070,0.035404046,2024-03-25 13:48:39
"27","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2075,0.042690182,2024-03-25 13:48:39
"28","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2080,0.04982654,2024-03-25 13:48:39
"29","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2085,0.05661759,2024-03-25 13:48:39
"30","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2090,0.06332824,2024-03-25 13:48:39
"31","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2095,0.07094098,2024-03-25 13:48:39
"32","EJ","Policytest","Africa_Eastern","H2 industrial","elect_td_ind",2100,0.07817722,2024-03-25 13:48:39
"33","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2025,0.00019766,2024-03-25 13:48:39
"34","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2030,0.000582019,2024-03-25 13:48:39
"35","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2035,0.00159265,2024-03-25 13:48:39
"36","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2040,0.00290552,2024-03-25 13:48:39
"37","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2045,0.00457199,2024-03-25 13:48:39
"38","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2050,0.0068853,2024-03-25 13:48:39
"39","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2055,0.00977483,2024-03-25 13:48:39
"40","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2060,0.013455,2024-03-25 13:48:39
"41","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2065,0.0180501,2024-03-25 13:48:39
"42","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2070,0.0232737,2024-03-25 13:48:39
"43","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2075,0.0288345,2024-03-25 13:48:39
"44","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2080,0.034248,2024-03-25 13:48:39
"45","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2085,0.0395714,2024-03-25 13:48:39
"46","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2090,0.0447587,2024-03-25 13:48:39
"47","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2095,0.0494339,2024-03-25 13:48:39
"48","EJ","Policytest","Africa_Eastern","H2 liquid truck","elect_td_ind",2100,0.0537203,2024-03-25 13:48:39
"49","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2025,1.39072e-05,2024-03-25 13:48:39
"50","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2030,0.000133187,2024-03-25 13:48:39
"51","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2035,0.000343346,2024-03-25 13:48:39
"52","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2040,0.000623866,2024-03-25 13:48:39
"53","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2045,0.00100215,2024-03-25 13:48:39
"54","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2050,0.00153548,2024-03-25 13:48:39
"55","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2055,0.00221387,2024-03-25 13:48:39
"56","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2060,0.00306091,2024-03-25 13:48:39
"57","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2065,0.00402971,2024-03-25 13:48:39
"58","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2070,0.00509177,2024-03-25 13:48:39
"59","EJ","Policytest","Africa_Eastern","H2 pipeline","elect_td_ind",2075,0.00620841,2024-03-25 13:48:39
