"","Units","scenario","region","fuel","year","value","rundate"
"1","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",1975,4.13533,2024-03-11 09:44:58
"2","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",1990,15.2629,2024-03-11 09:44:58
"3","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2005,14.5864,2024-03-11 09:44:58
"4","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2010,19.8735,2024-03-11 09:44:58
"5","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2015,21.3854,2024-03-11 09:44:58
"6","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2020,14.8824,2024-03-11 09:44:58
"7","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2025,12.895,2024-03-11 09:44:58
"8","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2030,14.0968,2024-03-11 09:44:58
"9","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2035,14.198,2024-03-11 09:44:58
"10","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2040,14.0718,2024-03-11 09:44:58
"11","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2045,13.897,2024-03-11 09:44:58
"12","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2050,13.7203,2024-03-11 09:44:58
"13","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2055,13.639,2024-03-11 09:44:58
"14","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2060,13.4953,2024-03-11 09:44:58
"15","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2065,13.5267,2024-03-11 09:44:58
"16","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2070,13.395,2024-03-11 09:44:58
"17","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2075,13.344,2024-03-11 09:44:58
"18","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2080,13.2351,2024-03-11 09:44:58
"19","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2085,13.1445,2024-03-11 09:44:58
"20","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2090,13.0215,2024-03-11 09:44:58
"21","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2095,12.9145,2024-03-11 09:44:58
"22","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_bld",2100,12.837,2024-03-11 09:44:58
"23","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",1975,1.85533,2024-03-11 09:44:58
"24","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",1990,13.0679,2024-03-11 09:44:58
"25","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2005,12.4764,2024-03-11 09:44:58
"26","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2010,17.8035,2024-03-11 09:44:58
"27","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2015,19.3554,2024-03-11 09:44:58
"28","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2020,13.0568,2024-03-11 09:44:58
"29","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2025,10.9646,2024-03-11 09:44:58
"30","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2030,12.3857,2024-03-11 09:44:58
"31","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2035,12.7104,2024-03-11 09:44:58
"32","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2040,12.775,2024-03-11 09:44:58
"33","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2045,12.694,2024-03-11 09:44:58
"34","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2050,12.5284,2024-03-11 09:44:58
"35","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2055,12.3824,2024-03-11 09:44:58
"36","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2060,12.1949,2024-03-11 09:44:58
"37","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2065,12.147,2024-03-11 09:44:58
"38","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2070,11.9309,2024-03-11 09:44:58
"39","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2075,11.8057,2024-03-11 09:44:58
"40","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2080,11.6467,2024-03-11 09:44:58
"41","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2085,11.5132,2024-03-11 09:44:58
"42","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2090,11.3632,2024-03-11 09:44:58
"43","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2095,11.2384,2024-03-11 09:44:58
"44","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_ind",2100,11.15,2024-03-11 09:44:58
"45","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",1975,4.13533,2024-03-11 09:44:58
"46","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",1990,15.2629,2024-03-11 09:44:58
"47","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",2005,14.5864,2024-03-11 09:44:58
"48","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",2010,19.8735,2024-03-11 09:44:58
"49","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",2015,21.3854,2024-03-11 09:44:58
"50","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",2020,15.0468,2024-03-11 09:44:58
"51","1975$/GJ","PolicyReference","Africa_Eastern","elect_td_trn",2025,12.9146,2024-03-11 09:44:58
