"","Units","scenario","region","sector","input","year","value","rundate"
"1","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2025,9.5368875e-06,2024-03-11 09:44:58
"2","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2030,2.0037455e-07,2024-03-11 09:44:58
"3","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2035,2.6135175e-07,2024-03-11 09:44:58
"4","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2040,7.30481e-07,2024-03-11 09:44:58
"5","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2045,5.179378e-06,2024-03-11 09:44:58
"6","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2050,5.497327e-05,2024-03-11 09:44:58
"7","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2055,0.0002990298,2024-03-11 09:44:58
"8","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2060,0.0005646548775,2024-03-11 09:44:58
"9","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2065,0.00485868325174,2024-03-11 09:44:58
"10","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2070,0.00717176559777,2024-03-11 09:44:58
"11","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2075,0.012527247047854,2024-03-11 09:44:58
"12","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2080,0.016272423622494,2024-03-11 09:44:58
"13","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2085,0.020121158449466,2024-03-11 09:44:58
"14","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2090,0.024629286807382,2024-03-11 09:44:58
"15","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2095,0.02849759746219,2024-03-11 09:44:58
"16","EJ","PolicyReference","Africa_Eastern","CO2 removal","elect_td_ind",2100,0.030885360118006,2024-03-11 09:44:58
"17","EJ","PolicyReference","Africa_Eastern","H2 central production","elect_td_ind",2025,0.00015480822279,2024-03-11 09:44:58
"18","EJ","PolicyReference","Africa_Eastern","H2 central production","elect_td_ind",2030,0.000416780103835,2024-03-11 09:44:58
"19","EJ","PolicyReference","Africa_Eastern","H2 central production","elect_td_ind",2035,0.000893312069312,2024-03-11 09:44:58
