"","Units","scenario","region","fuel","year","value","rundate"
"1","EJ","PolicyReference","Africa_Eastern","a oil",2005,0.581279,2024-03-11 09:44:58
"2","EJ","PolicyReference","Africa_Eastern","a oil",2010,0.811771,2024-03-11 09:44:58
"3","EJ","PolicyReference","Africa_Eastern","a oil",2015,0.985284,2024-03-11 09:44:58
"4","EJ","PolicyReference","Africa_Eastern","a oil",2020,1.25404,2024-03-11 09:44:58
"5","EJ","PolicyReference","Africa_Eastern","a oil",2025,1.17523,2024-03-11 09:44:58
"6","EJ","PolicyReference","Africa_Eastern","a oil",2030,1.35485,2024-03-11 09:44:58
"7","EJ","PolicyReference","Africa_Eastern","a oil",2035,1.41137,2024-03-11 09:44:58
"8","EJ","PolicyReference","Africa_Eastern","a oil",2040,1.44539,2024-03-11 09:44:58
"9","EJ","PolicyReference","Africa_Eastern","a oil",2045,1.39332,2024-03-11 09:44:58
"10","EJ","PolicyReference","Africa_Eastern","a oil",2050,1.2318,2024-03-11 09:44:58
"11","EJ","PolicyReference","Africa_Eastern","a oil",2055,1.11054,2024-03-11 09:44:58
"12","EJ","PolicyReference","Africa_Eastern","a oil",2060,1.08364,2024-03-11 09:44:58
"13","EJ","PolicyReference","Africa_Eastern","a oil",2065,0.967977,2024-03-11 09:44:58
"14","EJ","PolicyReference","Africa_Eastern","a oil",2070,0.912555,2024-03-11 09:44:58
"15","EJ","PolicyReference","Africa_Eastern","a oil",2075,0.809903,2024-03-11 09:44:58
"16","EJ","PolicyReference","Africa_Eastern","a oil",2080,0.699909,2024-03-11 09:44:58
"17","EJ","PolicyReference","Africa_Eastern","a oil",2085,0.595319,2024-03-11 09:44:58
"18","EJ","PolicyReference","Africa_Eastern","a oil",2090,0.533683,2024-03-11 09:44:58
"19","EJ","PolicyReference","Africa_Eastern","a oil",2095,0.479454,2024-03-11 09:44:58
"20","EJ","PolicyReference","Africa_Eastern","a oil",2100,0.443006,2024-03-11 09:44:58
"21","EJ","PolicyReference","Africa_Eastern","b natural gas",2005,0.0380846,2024-03-11 09:44:58
"22","EJ","PolicyReference","Africa_Eastern","b natural gas",2010,0.0393054,2024-03-11 09:44:58
"23","EJ","PolicyReference","Africa_Eastern","b natural gas",2015,0.0424984,2024-03-11 09:44:58
"24","EJ","PolicyReference","Africa_Eastern","b natural gas",2020,0.0649656,2024-03-11 09:44:58
"25","EJ","PolicyReference","Africa_Eastern","b natural gas",2025,0.0609066,2024-03-11 09:44:58
"26","EJ","PolicyReference","Africa_Eastern","b natural gas",2030,0.1307642,2024-03-11 09:44:58
"27","EJ","PolicyReference","Africa_Eastern","b natural gas",2035,0.2258546,2024-03-11 09:44:58
"28","EJ","PolicyReference","Africa_Eastern","b natural gas",2040,0.346744,2024-03-11 09:44:58
"29","EJ","PolicyReference","Africa_Eastern","b natural gas",2045,0.48317487,2024-03-11 09:44:58
"30","EJ","PolicyReference","Africa_Eastern","b natural gas",2050,0.57717433,2024-03-11 09:44:58
"31","EJ","PolicyReference","Africa_Eastern","b natural gas",2055,0.62818,2024-03-11 09:44:58
"32","EJ","PolicyReference","Africa_Eastern","b natural gas",2060,0.6380305,2024-03-11 09:44:58
"33","EJ","PolicyReference","Africa_Eastern","b natural gas",2065,0.5939947,2024-03-11 09:44:58
"34","EJ","PolicyReference","Africa_Eastern","b natural gas",2070,0.5556083,2024-03-11 09:44:58
"35","EJ","PolicyReference","Africa_Eastern","b natural gas",2075,0.5003773,2024-03-11 09:44:58
"36","EJ","PolicyReference","Africa_Eastern","b natural gas",2080,0.4527685,2024-03-11 09:44:58
"37","EJ","PolicyReference","Africa_Eastern","b natural gas",2085,0.4012366,2024-03-11 09:44:58
"38","EJ","PolicyReference","Africa_Eastern","b natural gas",2090,0.3532105,2024-03-11 09:44:58
"39","EJ","PolicyReference","Africa_Eastern","b natural gas",2095,0.3127131,2024-03-11 09:44:58
"40","EJ","PolicyReference","Africa_Eastern","b natural gas",2100,0.2889529,2024-03-11 09:44:58
"41","EJ","PolicyReference","Africa_Eastern","c coal",1975,0.00202275,2024-03-11 09:44:58
"42","EJ","PolicyReference","Africa_Eastern","c coal",1990,0.00259314,2024-03-11 09:44:58
"43","EJ","PolicyReference","Africa_Eastern","c coal",2005,0.00614678,2024-03-11 09:44:58
"44","EJ","PolicyReference","Africa_Eastern","c coal",2010,0.00321168,2024-03-11 09:44:58
"45","EJ","PolicyReference","Africa_Eastern","c coal",2015,0.00245694,2024-03-11 09:44:58
"46","EJ","PolicyReference","Africa_Eastern","c coal",2020,0.0052993,2024-03-11 09:44:58
"47","EJ","PolicyReference","Africa_Eastern","c coal",2025,0.00463268,2024-03-11 09:44:58
"48","EJ","PolicyReference","Africa_Eastern","c coal",2030,0.00625506,2024-03-11 09:44:58
"49","EJ","PolicyReference","Africa_Eastern","c coal",2035,0.00742523,2024-03-11 09:44:58
"50","EJ","PolicyReference","Africa_Eastern","c coal",2040,0.00910618,2024-03-11 09:44:58
"51","EJ","PolicyReference","Africa_Eastern","c coal",2045,0.0115272,2024-03-11 09:44:58
"52","EJ","PolicyReference","Africa_Eastern","c coal",2050,0.0142938,2024-03-11 09:44:58
"53","EJ","PolicyReference","Africa_Eastern","c coal",2055,0.0168203,2024-03-11 09:44:58
"54","EJ","PolicyReference","Africa_Eastern","c coal",2060,0.019457,2024-03-11 09:44:58
"55","EJ","PolicyReference","Africa_Eastern","c coal",2065,0.0205618,2024-03-11 09:44:58
"56","EJ","PolicyReference","Africa_Eastern","c coal",2070,0.0214756,2024-03-11 09:44:58
"57","EJ","PolicyReference","Africa_Eastern","c coal",2075,0.0214008,2024-03-11 09:44:58
"58","EJ","PolicyReference","Africa_Eastern","c coal",2080,0.0208569,2024-03-11 09:44:58
"59","EJ","PolicyReference","Africa_Eastern","c coal",2085,0.0209751,2024-03-11 09:44:58
"60","EJ","PolicyReference","Africa_Eastern","c coal",2090,0.0228092,2024-03-11 09:44:58
"61","EJ","PolicyReference","Africa_Eastern","c coal",2095,0.0248522,2024-03-11 09:44:58
"62","EJ","PolicyReference","Africa_Eastern","c coal",2100,0.0273336,2024-03-11 09:44:58
"63","EJ","PolicyReference","Africa_Eastern","d biomass",1975,0.282644,2024-03-11 09:44:58
"64","EJ","PolicyReference","Africa_Eastern","d biomass",1990,0.650748,2024-03-11 09:44:58
"65","EJ","PolicyReference","Africa_Eastern","d biomass",2005,0.982977,2024-03-11 09:44:58
"66","EJ","PolicyReference","Africa_Eastern","d biomass",2010,1.078565593,2024-03-11 09:44:58
"67","EJ","PolicyReference","Africa_Eastern","d biomass",2015,1.238177402,2024-03-11 09:44:58
"68","EJ","PolicyReference","Africa_Eastern","d biomass",2020,1.3482676073657,2024-03-11 09:44:58
"69","EJ","PolicyReference","Africa_Eastern","d biomass",2025,2.13723149512848,2024-03-11 09:44:58
