"","Units","scenario","region","sector","output","year","value","rundate"
"1","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",1990,34.210276,2024-03-11 09:44:58
"2","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2005,57.916798,2024-03-11 09:44:58
"3","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2010,75.681751,2024-03-11 09:44:58
"4","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2015,81.783213,2024-03-11 09:44:58
"5","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2020,94.776634,2024-03-11 09:44:58
"6","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2025,102.644585,2024-03-11 09:44:58
"7","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2030,126.240959,2024-03-11 09:44:58
"8","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2035,150.138864,2024-03-11 09:44:58
"9","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2040,176.743574,2024-03-11 09:44:58
"10","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2045,204.700459,2024-03-11 09:44:58
"11","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2050,235.805905,2024-03-11 09:44:58
"12","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2055,267.89411,2024-03-11 09:44:58
"13","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2060,303.156085,2024-03-11 09:44:58
"14","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2065,337.203393,2024-03-11 09:44:58
"15","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2070,373.1973,2024-03-11 09:44:58
"16","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2075,407.2373,2024-03-11 09:44:58
"17","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2080,440.08395,2024-03-11 09:44:58
"18","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2085,469.77854,2024-03-11 09:44:58
"19","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2090,496.83673,2024-03-11 09:44:58
"20","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2095,520.50396,2024-03-11 09:44:58
"21","Pcal","PolicyReference","Africa_Eastern","FoodDemand_NonStaples","FoodDemand_NonStaples",2100,541.1558,2024-03-11 09:44:58
"22","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",1990,67.27167,2024-03-11 09:44:58
"23","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2005,105.8426,2024-03-11 09:44:58
"24","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2010,123.8952,2024-03-11 09:44:58
"25","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2015,149.0123,2024-03-11 09:44:58
"26","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2020,166.0087,2024-03-11 09:44:58
"27","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2025,183.3582,2024-03-11 09:44:58
"28","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2030,196.5988,2024-03-11 09:44:58
"29","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2035,208.3231,2024-03-11 09:44:58
"30","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2040,218.0272,2024-03-11 09:44:58
"31","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2045,226.1051,2024-03-11 09:44:58
"32","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2050,232.4137,2024-03-11 09:44:58
"33","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2055,237.5213,2024-03-11 09:44:58
"34","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2060,241.3364,2024-03-11 09:44:58
"35","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2065,244.5478,2024-03-11 09:44:58
"36","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2070,246.9548,2024-03-11 09:44:58
"37","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2075,248.9226,2024-03-11 09:44:58
"38","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2080,250.2656,2024-03-11 09:44:58
"39","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2085,251.0449,2024-03-11 09:44:58
"40","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2090,251.1893,2024-03-11 09:44:58
"41","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2095,250.8246,2024-03-11 09:44:58
"42","Pcal","PolicyReference","Africa_Eastern","FoodDemand_Staples","FoodDemand_Staples",2100,249.9299,2024-03-11 09:44:58
"43","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",1990,30.7199346,2024-03-11 09:44:58
"44","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2005,51.3505605,2024-03-11 09:44:58
"45","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2010,66.764819,2024-03-11 09:44:58
"46","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2015,80.742244,2024-03-11 09:44:58
"47","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2020,92.0273679,2024-03-11 09:44:58
"48","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2025,102.68365816,2024-03-11 09:44:58
"49","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2030,115.5699917,2024-03-11 09:44:58
"50","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2035,127.47572812,2024-03-11 09:44:58
"51","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2040,138.73628763,2024-03-11 09:44:58
"52","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2045,148.92473948,2024-03-11 09:44:58
"53","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2050,158.17598116,2024-03-11 09:44:58
"54","Pcal","PolicyReference","Africa_Northern","FoodDemand_NonStaples","FoodDemand_NonStaples",2055,166.3223995,2024-03-11 09:44:58
