"","Units","scenario","region","gcam-consumer","nodeinput","input","year","value","rundate"
"1","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.713716,2024-03-11 09:44:58
"2","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.358485,2024-03-11 09:44:58
"3","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.327379,2024-03-11 09:44:58
"4","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.274034,2024-03-11 09:44:58
"5","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.270179,2024-03-11 09:44:58
"6","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.278469,2024-03-11 09:44:58
"7","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.382689,2024-03-11 09:44:58
"8","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.3671,2024-03-11 09:44:58
"9","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.378864,2024-03-11 09:44:58
"10","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.399227,2024-03-11 09:44:58
"11","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.437772,2024-03-11 09:44:58
"12","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.471631,2024-03-11 09:44:58
"13","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.513903,2024-03-11 09:44:58
"14","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.543035,2024-03-11 09:44:58
"15","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.586713,2024-03-11 09:44:58
"16","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.614845,2024-03-11 09:44:58
"17","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.649534,2024-03-11 09:44:58
"18","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.677115,2024-03-11 09:44:58
"19","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.708495,2024-03-11 09:44:58
"20","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.734809,2024-03-11 09:44:58
"21","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.762345,2024-03-11 09:44:58
"22","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.78391,2024-03-11 09:44:58
"23","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,0.0393059,2024-03-11 09:44:58
"24","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,0.0393309,2024-03-11 09:44:58
"25","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,0.03756,2024-03-11 09:44:58
"26","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,0.03618,2024-03-11 09:44:58
"27","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,0.0369779,2024-03-11 09:44:58
"28","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2020,0.037424,2024-03-11 09:44:58
"29","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2025,0.0517298,2024-03-11 09:44:58
"30","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2030,0.0472955,2024-03-11 09:44:58
"31","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2035,0.0476733,2024-03-11 09:44:58
"32","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2040,0.0492245,2024-03-11 09:44:58
"33","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2045,0.0537563,2024-03-11 09:44:58
"34","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2050,0.0593202,2024-03-11 09:44:58
"35","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2055,0.0713856,2024-03-11 09:44:58
"36","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2060,0.0785961,2024-03-11 09:44:58
"37","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2065,0.0956819,2024-03-11 09:44:58
"38","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2070,0.102489,2024-03-11 09:44:58
"39","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2075,0.114617,2024-03-11 09:44:58
"40","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2080,0.122268,2024-03-11 09:44:58
"41","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2085,0.130689,2024-03-11 09:44:58
"42","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2090,0.136625,2024-03-11 09:44:58
"43","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2095,0.142177,2024-03-11 09:44:58
"44","2005$/Mcal/day","PolicyReference","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2100,0.146492,2024-03-11 09:44:58
"45","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1975,0.385124,2024-03-11 09:44:58
"46","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",1990,0.320242,2024-03-11 09:44:58
"47","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2005,0.326498,2024-03-11 09:44:58
"48","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2010,0.308137,2024-03-11 09:44:58
"49","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2015,0.304967,2024-03-11 09:44:58
"50","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2020,0.308243,2024-03-11 09:44:58
"51","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2025,0.321751,2024-03-11 09:44:58
"52","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2030,0.322745,2024-03-11 09:44:58
"53","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2035,0.32923,2024-03-11 09:44:58
"54","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2040,0.336165,2024-03-11 09:44:58
"55","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2045,0.349503,2024-03-11 09:44:58
"56","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2050,0.360491,2024-03-11 09:44:58
"57","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2055,0.374012,2024-03-11 09:44:58
"58","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2060,0.386127,2024-03-11 09:44:58
"59","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2065,0.396934,2024-03-11 09:44:58
"60","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2070,0.408175,2024-03-11 09:44:58
"61","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2075,0.420094,2024-03-11 09:44:58
"62","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2080,0.430814,2024-03-11 09:44:58
"63","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2085,0.441618,2024-03-11 09:44:58
"64","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2090,0.450867,2024-03-11 09:44:58
"65","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2095,0.461098,2024-03-11 09:44:58
"66","2005$/Mcal/day","PolicyReference","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_NonStaples",2100,0.471311,2024-03-11 09:44:58
