"","Units","scenario","region","subresource","year","value","rundate"
"1","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",1975,0,2024-03-11 09:44:58
"2","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",1990,0,2024-03-11 09:44:58
"3","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2005,0,2024-03-11 09:44:58
"4","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2010,1.93182e-05,2024-03-11 09:44:58
"5","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2015,0.08793662172,2024-03-11 09:44:58
"6","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2020,0.092664234,2024-03-11 09:44:58
"7","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2025,0.001550164,2024-03-11 09:44:58
"8","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2030,0.00216166,2024-03-11 09:44:58
"9","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2035,0,2024-03-11 09:44:58
"10","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2040,0,2024-03-11 09:44:58
"11","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2045,0,2024-03-11 09:44:58
"12","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2050,0,2024-03-11 09:44:58
"13","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2055,0,2024-03-11 09:44:58
"14","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2060,0,2024-03-11 09:44:58
"15","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2065,0,2024-03-11 09:44:58
"16","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2070,0,2024-03-11 09:44:58
"17","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2075,0,2024-03-11 09:44:58
"18","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2080,0,2024-03-11 09:44:58
"19","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2085,0,2024-03-11 09:44:58
"20","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2090,0,2024-03-11 09:44:58
"21","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2095,0,2024-03-11 09:44:58
"22","km^3","PolicyReference","Africa_Eastern","groundwater grade hist",2100,0,2024-03-11 09:44:58
"23","km^3","PolicyReference","Africa_Eastern","groundwater grade1",1975,0,2024-03-11 09:44:58
"24","km^3","PolicyReference","Africa_Eastern","groundwater grade1",1990,0,2024-03-11 09:44:58
"25","km^3","PolicyReference","Africa_Eastern","groundwater grade1",2005,0,2024-03-11 09:44:58
"26","km^3","PolicyReference","Africa_Eastern","groundwater grade1",2010,0,2024-03-11 09:44:58
"27","km^3","PolicyReference","Africa_Eastern","groundwater grade1",2015,0,2024-03-11 09:44:58
"28","km^3","PolicyReference","Africa_Eastern","groundwater grade1",2020,0,2024-03-11 09:44:58
"29","km^3","PolicyReference","Africa_Eastern","groundwater grade1",2025,4.88452,2024-03-11 09:44:58
