"","Units","scenario","region","year","value","rundate"
"1","thous","PolicyReference","Africa_Eastern",1975,91890,2024-03-11 09:44:58
"2","thous","PolicyReference","Africa_Eastern",1990,145593,2024-03-11 09:44:58
"3","thous","PolicyReference","Africa_Eastern",2005,222829,2024-03-11 09:44:58
"4","thous","PolicyReference","Africa_Eastern",2010,255333,2024-03-11 09:44:58
"5","thous","PolicyReference","Africa_Eastern",2015,292560,2024-03-11 09:44:58
"6","thous","PolicyReference","Africa_Eastern",2020,327652,2024-03-11 09:44:58
"7","thous","PolicyReference","Africa_Eastern",2025,363312,2024-03-11 09:44:58
"8","thous","PolicyReference","Africa_Eastern",2030,398928,2024-03-11 09:44:58
"9","thous","PolicyReference","Africa_Eastern",2035,433912,2024-03-11 09:44:58
"10","thous","PolicyReference","Africa_Eastern",2040,467666,2024-03-11 09:44:58
"11","thous","PolicyReference","Africa_Eastern",2045,499664,2024-03-11 09:44:58
"12","thous","PolicyReference","Africa_Eastern",2050,529402,2024-03-11 09:44:58
"13","thous","PolicyReference","Africa_Eastern",2055,556634,2024-03-11 09:44:58
"14","thous","PolicyReference","Africa_Eastern",2060,581206,2024-03-11 09:44:58
"15","thous","PolicyReference","Africa_Eastern",2065,603136,2024-03-11 09:44:58
"16","thous","PolicyReference","Africa_Eastern",2070,622472,2024-03-11 09:44:58
"17","thous","PolicyReference","Africa_Eastern",2075,639201,2024-03-11 09:44:58
"18","thous","PolicyReference","Africa_Eastern",2080,653078,2024-03-11 09:44:58
"19","thous","PolicyReference","Africa_Eastern",2085,664120,2024-03-11 09:44:58
"20","thous","PolicyReference","Africa_Eastern",2090,672314,2024-03-11 09:44:58
"21","thous","PolicyReference","Africa_Eastern",2095,678024,2024-03-11 09:44:58
"22","thous","PolicyReference","Africa_Eastern",2100,681323,2024-03-11 09:44:58
"23","thous","PolicyReference","Africa_Northern",1975,81330,2024-03-11 09:44:58
"24","thous","PolicyReference","Africa_Northern",1990,119597,2024-03-11 09:44:58
"25","thous","PolicyReference","Africa_Northern",2005,155472,2024-03-11 09:44:58
"26","thous","PolicyReference","Africa_Northern",2010,168395,2024-03-11 09:44:58
"27","thous","PolicyReference","Africa_Northern",2015,184959,2024-03-11 09:44:58
"28","thous","PolicyReference","Africa_Northern",2020,196801,2024-03-11 09:44:58
"29","thous","PolicyReference","Africa_Northern",2025,207480,2024-03-11 09:44:58
"30","thous","PolicyReference","Africa_Northern",2030,216852,2024-03-11 09:44:58
"31","thous","PolicyReference","Africa_Northern",2035,225136,2024-03-11 09:44:58
"32","thous","PolicyReference","Africa_Northern",2040,232477,2024-03-11 09:44:58
"33","thous","PolicyReference","Africa_Northern",2045,238781,2024-03-11 09:44:58
"34","thous","PolicyReference","Africa_Northern",2050,243731,2024-03-11 09:44:58
"35","thous","PolicyReference","Africa_Northern",2055,247357,2024-03-11 09:44:58
"36","thous","PolicyReference","Africa_Northern",2060,249677,2024-03-11 09:44:58
"37","thous","PolicyReference","Africa_Northern",2065,250848,2024-03-11 09:44:58
"38","thous","PolicyReference","Africa_Northern",2070,250893,2024-03-11 09:44:58
"39","thous","PolicyReference","Africa_Northern",2075,249970,2024-03-11 09:44:58
"40","thous","PolicyReference","Africa_Northern",2080,248377,2024-03-11 09:44:58
"41","thous","PolicyReference","Africa_Northern",2085,246266,2024-03-11 09:44:58
"42","thous","PolicyReference","Africa_Northern",2090,243811,2024-03-11 09:44:58
"43","thous","PolicyReference","Africa_Northern",2095,240965,2024-03-11 09:44:58
"44","thous","PolicyReference","Africa_Northern",2100,237829,2024-03-11 09:44:58
"45","thous","PolicyReference","Africa_Southern",1975,53046,2024-03-11 09:44:58
"46","thous","PolicyReference","Africa_Southern",1990,83159,2024-03-11 09:44:58
"47","thous","PolicyReference","Africa_Southern",2005,121701,2024-03-11 09:44:58
"48","thous","PolicyReference","Africa_Southern",2010,139244,2024-03-11 09:44:58
"49","thous","PolicyReference","Africa_Southern",2015,160447,2024-03-11 09:44:58
"50","thous","PolicyReference","Africa_Southern",2020,179810,2024-03-11 09:44:58
"51","thous","PolicyReference","Africa_Southern",2025,199719,2024-03-11 09:44:58
"52","thous","PolicyReference","Africa_Southern",2030,219910,2024-03-11 09:44:58
"53","thous","PolicyReference","Africa_Southern",2035,240067,2024-03-11 09:44:58
"54","thous","PolicyReference","Africa_Southern",2040,260006,2024-03-11 09:44:58
"55","thous","PolicyReference","Africa_Southern",2045,279087,2024-03-11 09:44:58
"56","thous","PolicyReference","Africa_Southern",2050,297214,2024-03-11 09:44:58
"57","thous","PolicyReference","Africa_Southern",2055,313929,2024-03-11 09:44:58
"58","thous","PolicyReference","Africa_Southern",2060,329226,2024-03-11 09:44:58
"59","thous","PolicyReference","Africa_Southern",2065,343254,2024-03-11 09:44:58
"60","thous","PolicyReference","Africa_Southern",2070,355958,2024-03-11 09:44:58
"61","thous","PolicyReference","Africa_Southern",2075,367099,2024-03-11 09:44:58
"62","thous","PolicyReference","Africa_Southern",2080,376885,2024-03-11 09:44:58
"63","thous","PolicyReference","Africa_Southern",2085,385319,2024-03-11 09:44:58
"64","thous","PolicyReference","Africa_Southern",2090,392092,2024-03-11 09:44:58
"65","thous","PolicyReference","Africa_Southern",2095,397271,2024-03-11 09:44:58
"66","thous","PolicyReference","Africa_Southern",2100,400909,2024-03-11 09:44:58
"67","thous","PolicyReference","Africa_Western",1975,159160,2024-03-11 09:44:58
"68","thous","PolicyReference","Africa_Western",1990,239535,2024-03-11 09:44:58
"69","thous","PolicyReference","Africa_Western",2005,360464,2024-03-11 09:44:58
"70","thous","PolicyReference","Africa_Western",2010,415301,2024-03-11 09:44:58
"71","thous","PolicyReference","Africa_Western",2015,478031,2024-03-11 09:44:58
"72","thous","PolicyReference","Africa_Western",2020,537465,2024-03-11 09:44:58
"73","thous","PolicyReference","Africa_Western",2025,599748,2024-03-11 09:44:58
"74","thous","PolicyReference","Africa_Western",2030,664116,2024-03-11 09:44:58
"75","thous","PolicyReference","Africa_Western",2035,729808,2024-03-11 09:44:58
"76","thous","PolicyReference","Africa_Western",2040,795629,2024-03-11 09:44:58
