"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","PolicyReference","Africa_Eastern",1975,"GDP",28893,2024-03-11 09:44:58
"2","million 1990$","PolicyReference","Africa_Eastern",1990,"GDP",46850,2024-03-11 09:44:58
"3","million 1990$","PolicyReference","Africa_Eastern",2005,"GDP",85953,2024-03-11 09:44:58
"4","million 1990$","PolicyReference","Africa_Eastern",2010,"GDP",119402,2024-03-11 09:44:58
"5","million 1990$","PolicyReference","Africa_Eastern",2015,"GDP",151679,2024-03-11 09:44:58
"6","million 1990$","PolicyReference","Africa_Eastern",2020,"GDP",187112,2024-03-11 09:44:58
"7","million 1990$","PolicyReference","Africa_Eastern",2025,"GDP",239022,2024-03-11 09:44:58
"8","million 1990$","PolicyReference","Africa_Eastern",2030,"GDP",321356,2024-03-11 09:44:58
"9","million 1990$","PolicyReference","Africa_Eastern",2035,"GDP",427658,2024-03-11 09:44:58
"10","million 1990$","PolicyReference","Africa_Eastern",2040,"GDP",569869,2024-03-11 09:44:58
"11","million 1990$","PolicyReference","Africa_Eastern",2045,"GDP",757672,2024-03-11 09:44:58
"12","million 1990$","PolicyReference","Africa_Eastern",2050,"GDP",1001190,2024-03-11 09:44:58
"13","million 1990$","PolicyReference","Africa_Eastern",2055,"GDP",1312420,2024-03-11 09:44:58
"14","million 1990$","PolicyReference","Africa_Eastern",2060,"GDP",1704500,2024-03-11 09:44:58
"15","million 1990$","PolicyReference","Africa_Eastern",2065,"GDP",2190550,2024-03-11 09:44:58
"16","million 1990$","PolicyReference","Africa_Eastern",2070,"GDP",2782710,2024-03-11 09:44:58
"17","million 1990$","PolicyReference","Africa_Eastern",2075,"GDP",3489840,2024-03-11 09:44:58
"18","million 1990$","PolicyReference","Africa_Eastern",2080,"GDP",4317660,2024-03-11 09:44:58
"19","million 1990$","PolicyReference","Africa_Eastern",2085,"GDP",5271490,2024-03-11 09:44:58
"20","million 1990$","PolicyReference","Africa_Eastern",2090,"GDP",6354510,2024-03-11 09:44:58
"21","million 1990$","PolicyReference","Africa_Eastern",2095,"GDP",7567070,2024-03-11 09:44:58
"22","million 1990$","PolicyReference","Africa_Eastern",2100,"GDP",8902450,2024-03-11 09:44:58
"23","million 1990$","PolicyReference","Africa_Northern",1975,"GDP",84938,2024-03-11 09:44:58
"24","million 1990$","PolicyReference","Africa_Northern",1990,"GDP",190375,2024-03-11 09:44:58
"25","million 1990$","PolicyReference","Africa_Northern",2005,"GDP",310900,2024-03-11 09:44:58
"26","million 1990$","PolicyReference","Africa_Northern",2010,"GDP",387805,2024-03-11 09:44:58
"27","million 1990$","PolicyReference","Africa_Northern",2015,"GDP",418411,2024-03-11 09:44:58
"28","million 1990$","PolicyReference","Africa_Northern",2020,"GDP",515797,2024-03-11 09:44:58
"29","million 1990$","PolicyReference","Africa_Northern",2025,"GDP",627167,2024-03-11 09:44:58
"30","million 1990$","PolicyReference","Africa_Northern",2030,"GDP",785256,2024-03-11 09:44:58
"31","million 1990$","PolicyReference","Africa_Northern",2035,"GDP",960109,2024-03-11 09:44:58
"32","million 1990$","PolicyReference","Africa_Northern",2040,"GDP",1154210,2024-03-11 09:44:58
"33","million 1990$","PolicyReference","Africa_Northern",2045,"GDP",1367090,2024-03-11 09:44:58
"34","million 1990$","PolicyReference","Africa_Northern",2050,"GDP",1596440,2024-03-11 09:44:58
"35","million 1990$","PolicyReference","Africa_Northern",2055,"GDP",1845850,2024-03-11 09:44:58
"36","million 1990$","PolicyReference","Africa_Northern",2060,"GDP",2116550,2024-03-11 09:44:58
"37","million 1990$","PolicyReference","Africa_Northern",2065,"GDP",2406360,2024-03-11 09:44:58
"38","million 1990$","PolicyReference","Africa_Northern",2070,"GDP",2705240,2024-03-11 09:44:58
"39","million 1990$","PolicyReference","Africa_Northern",2075,"GDP",3008440,2024-03-11 09:44:58
"40","million 1990$","PolicyReference","Africa_Northern",2080,"GDP",3315290,2024-03-11 09:44:58
"41","million 1990$","PolicyReference","Africa_Northern",2085,"GDP",3626790,2024-03-11 09:44:58
"42","million 1990$","PolicyReference","Africa_Northern",2090,"GDP",3943800,2024-03-11 09:44:58
"43","million 1990$","PolicyReference","Africa_Northern",2095,"GDP",4264810,2024-03-11 09:44:58
"44","million 1990$","PolicyReference","Africa_Northern",2100,"GDP",4585280,2024-03-11 09:44:58
"45","million 1990$","PolicyReference","Africa_Southern",1975,"GDP",28497,2024-03-11 09:44:58
"46","million 1990$","PolicyReference","Africa_Southern",1990,"GDP",42717,2024-03-11 09:44:58
