"","Units","scenario","region","input","year","value","rundate"
"1","km^3","PolicyReference","Africa_Eastern","water_td_an_C",1975,0.062456024902,2024-03-11 09:44:58
"2","km^3","PolicyReference","Africa_Eastern","water_td_an_C",1990,2.69706344,2024-03-11 09:44:58
"3","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2005,4.5409123,2024-03-11 09:44:58
"4","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2010,5.22457885,2024-03-11 09:44:58
"5","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2015,5.71423152,2024-03-11 09:44:58
"6","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2020,6.52225032,2024-03-11 09:44:58
"7","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2025,6.00840115,2024-03-11 09:44:58
"8","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2030,7.54214793,2024-03-11 09:44:58
"9","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2035,8.73269975,2024-03-11 09:44:58
"10","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2040,9.7190201,2024-03-11 09:44:58
"11","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2045,10.1068247,2024-03-11 09:44:58
"12","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2050,10.1315465,2024-03-11 09:44:58
"13","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2055,9.4377987,2024-03-11 09:44:58
"14","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2060,9.6805086,2024-03-11 09:44:58
"15","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2065,9.1684679,2024-03-11 09:44:58
"16","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2070,9.6541935,2024-03-11 09:44:58
"17","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2075,9.858327,2024-03-11 09:44:58
"18","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2080,10.3057946,2024-03-11 09:44:58
"19","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2085,10.7352132,2024-03-11 09:44:58
"20","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2090,11.2070565,2024-03-11 09:44:58
"21","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2095,11.5339882,2024-03-11 09:44:58
"22","km^3","PolicyReference","Africa_Eastern","water_td_an_C",2100,11.4779039,2024-03-11 09:44:58
"23","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",1990,0.11315032025,2024-03-11 09:44:58
"24","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2005,0.203678150461,2024-03-11 09:44:58
"25","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2010,0.339703413126,2024-03-11 09:44:58
"26","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2015,0.508277320074,2024-03-11 09:44:58
"27","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2020,0.685025562421447,2024-03-11 09:44:58
"28","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2025,0.895110700165777,2024-03-11 09:44:58
"29","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2030,1.10305992311737,2024-03-11 09:44:58
"30","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2035,1.32133711249215,2024-03-11 09:44:58
"31","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2040,1.58836249627045,2024-03-11 09:44:58
"32","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2045,1.90077318510709,2024-03-11 09:44:58
"33","km^3","PolicyReference","Africa_Eastern","water_td_elec_C",2050,2.28875881512138,2024-03-11 09:44:58
