"","Units","scenario","region","input","year","value","rundate"
"1","km^3","PolicyReference","Africa_Eastern","water_td_an_W",1975,0.062456024902,2024-03-11 09:44:58
"2","km^3","PolicyReference","Africa_Eastern","water_td_an_W",1990,2.69706344,2024-03-11 09:44:58
"3","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2005,4.5409123,2024-03-11 09:44:58
"4","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2010,5.22457885,2024-03-11 09:44:58
"5","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2015,5.71423152,2024-03-11 09:44:58
"6","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2020,6.52225032,2024-03-11 09:44:58
"7","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2025,6.00840115,2024-03-11 09:44:58
"8","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2030,7.54214793,2024-03-11 09:44:58
"9","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2035,8.73269975,2024-03-11 09:44:58
"10","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2040,9.7190201,2024-03-11 09:44:58
"11","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2045,10.1068247,2024-03-11 09:44:58
"12","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2050,10.1315465,2024-03-11 09:44:58
"13","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2055,9.4377987,2024-03-11 09:44:58
"14","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2060,9.6805086,2024-03-11 09:44:58
"15","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2065,9.1684679,2024-03-11 09:44:58
"16","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2070,9.6541935,2024-03-11 09:44:58
"17","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2075,9.858327,2024-03-11 09:44:58
"18","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2080,10.3057946,2024-03-11 09:44:58
"19","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2085,10.7352132,2024-03-11 09:44:58
"20","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2090,11.2070565,2024-03-11 09:44:58
"21","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2095,11.5339882,2024-03-11 09:44:58
"22","km^3","PolicyReference","Africa_Eastern","water_td_an_W",2100,11.4779039,2024-03-11 09:44:58
"23","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",1990,0.05197932264,2024-03-11 09:44:58
"24","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2005,0.163323254761,2024-03-11 09:44:58
"25","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2010,0.183498629917,2024-03-11 09:44:58
"26","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2015,0.236535584312,2024-03-11 09:44:58
"27","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2020,0.354498377994447,2024-03-11 09:44:58
"28","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2025,2.11289437079181,2024-03-11 09:44:58
"29","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2030,2.18013290753781,2024-03-11 09:44:58
"30","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2035,2.02158764774461,2024-03-11 09:44:58
"31","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2040,1.82146424827141,2024-03-11 09:44:58
"32","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2045,1.65898547301141,2024-03-11 09:44:58
"33","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2050,2.07071648475357,2024-03-11 09:44:58
"34","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2055,2.88787028564865,2024-03-11 09:44:58
"35","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2060,3.52451282370112,2024-03-11 09:44:58
"36","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2065,5.54248707997735,2024-03-11 09:44:58
"37","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2070,5.97792614630473,2024-03-11 09:44:58
"38","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2075,7.31684817831822,2024-03-11 09:44:58
"39","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2080,7.87390480653904,2024-03-11 09:44:58
"40","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2085,8.3215711478203,2024-03-11 09:44:58
"41","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2090,8.9585148755179,2024-03-11 09:44:58
"42","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2095,9.0326822700755,2024-03-11 09:44:58
"43","km^3","PolicyReference","Africa_Eastern","water_td_elec_W",2100,8.822159806229,2024-03-11 09:44:58
"44","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",1975,0.0446287,2024-03-11 09:44:58
"45","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",1990,0.108716,2024-03-11 09:44:58
"46","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2005,0.201548,2024-03-11 09:44:58
"47","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2010,0.25629,2024-03-11 09:44:58
"48","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2015,0.412025,2024-03-11 09:44:58
"49","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2020,0.5062898,2024-03-11 09:44:58
"50","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2025,0.643795085317,2024-03-11 09:44:58
"51","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2030,0.9160884596308,2024-03-11 09:44:58
"52","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2035,1.24004949241771,2024-03-11 09:44:58
"53","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2040,1.6304673403786,2024-03-11 09:44:58
"54","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2045,2.0620248350161,2024-03-11 09:44:58
"55","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2050,2.6067945399497,2024-03-11 09:44:58
"56","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2055,3.22581089780392,2024-03-11 09:44:58
"57","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2060,3.93698056499987,2024-03-11 09:44:58
"58","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2065,4.66983793103392,2024-03-11 09:44:58
"59","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2070,5.4283756342713,2024-03-11 09:44:58
"60","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2075,6.15345841495656,2024-03-11 09:44:58
"61","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2080,6.82143378283606,2024-03-11 09:44:58
"62","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2085,7.42781901790082,2024-03-11 09:44:58
"63","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2090,8.00661549149258,2024-03-11 09:44:58
"64","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2095,8.54122044931854,2024-03-11 09:44:58
"65","km^3","PolicyReference","Africa_Eastern","water_td_ind_W",2100,9.00523138656038,2024-03-11 09:44:58
"66","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",1975,0.15342635476,2024-03-11 09:44:58
"67","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",1990,0.17801078567,2024-03-11 09:44:58
"68","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2005,0.2310146894,2024-03-11 09:44:58
"69","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2010,0.2659284843,2024-03-11 09:44:58
"70","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2015,0.3244634702,2024-03-11 09:44:58
"71","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2020,0.328586278,2024-03-11 09:44:58
"72","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2025,0.342636931863,2024-03-11 09:44:58
"73","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2030,0.418376439452,2024-03-11 09:44:58
"74","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2035,0.437259733994,2024-03-11 09:44:58
"75","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2040,0.454118015234,2024-03-11 09:44:58
"76","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2045,0.448412022732,2024-03-11 09:44:58
"77","km^3","PolicyReference","Africa_Eastern","water_td_irr_AfrCstE_W",2050,0.450282462379,2024-03-11 09:44:58
