"","Units","scenario","region","year","value","rundate"
"1","thous","Reference","Africa_Eastern",1975,91890,2024-02-05 13:29:59
"2","thous","Reference","Africa_Eastern",1990,145593,2024-02-05 13:29:59
"3","thous","Reference","Africa_Eastern",2005,222829,2024-02-05 13:29:59
"4","thous","Reference","Africa_Eastern",2010,255333,2024-02-05 13:29:59
"5","thous","Reference","Africa_Eastern",2015,292560,2024-02-05 13:29:59
"6","thous","Reference","Africa_Eastern",2020,327652,2024-02-05 13:29:59
"7","thous","Reference","Africa_Eastern",2025,363312,2024-02-05 13:29:59
"8","thous","Reference","Africa_Eastern",2030,398928,2024-02-05 13:29:59
"9","thous","Reference","Africa_Eastern",2035,433912,2024-02-05 13:29:59
"10","thous","Reference","Africa_Eastern",2040,467666,2024-02-05 13:29:59
"11","thous","Reference","Africa_Eastern",2045,499664,2024-02-05 13:29:59
"12","thous","Reference","Africa_Eastern",2050,529402,2024-02-05 13:29:59
"13","thous","Reference","Africa_Eastern",2055,556634,2024-02-05 13:29:59
"14","thous","Reference","Africa_Eastern",2060,581206,2024-02-05 13:29:59
"15","thous","Reference","Africa_Eastern",2065,603136,2024-02-05 13:29:59
"16","thous","Reference","Africa_Eastern",2070,622472,2024-02-05 13:29:59
"17","thous","Reference","Africa_Eastern",2075,639201,2024-02-05 13:29:59
"18","thous","Reference","Africa_Eastern",2080,653078,2024-02-05 13:29:59
"19","thous","Reference","Africa_Eastern",2085,664120,2024-02-05 13:29:59
"20","thous","Reference","Africa_Eastern",2090,672314,2024-02-05 13:29:59
"21","thous","Reference","Africa_Eastern",2095,678024,2024-02-05 13:29:59
"22","thous","Reference","Africa_Eastern",2100,681323,2024-02-05 13:29:59
"23","thous","Reference","Africa_Northern",1975,81330,2024-02-05 13:29:59
"24","thous","Reference","Africa_Northern",1990,119597,2024-02-05 13:29:59
"25","thous","Reference","Africa_Northern",2005,155472,2024-02-05 13:29:59
"26","thous","Reference","Africa_Northern",2010,168395,2024-02-05 13:29:59
"27","thous","Reference","Africa_Northern",2015,184959,2024-02-05 13:29:59
"28","thous","Reference","Africa_Northern",2020,196801,2024-02-05 13:29:59
"29","thous","Reference","Africa_Northern",2025,207480,2024-02-05 13:29:59
"30","thous","Reference","Africa_Northern",2030,216852,2024-02-05 13:29:59
"31","thous","Reference","Africa_Northern",2035,225136,2024-02-05 13:29:59
"32","thous","Reference","Africa_Northern",2040,232477,2024-02-05 13:29:59
"33","thous","Reference","Africa_Northern",2045,238781,2024-02-05 13:29:59
"34","thous","Reference","Africa_Northern",2050,243731,2024-02-05 13:29:59
"35","thous","Reference","Africa_Northern",2055,247357,2024-02-05 13:29:59
"36","thous","Reference","Africa_Northern",2060,249677,2024-02-05 13:29:59
"37","thous","Reference","Africa_Northern",2065,250848,2024-02-05 13:29:59
"38","thous","Reference","Africa_Northern",2070,250893,2024-02-05 13:29:59
"39","thous","Reference","Africa_Northern",2075,249970,2024-02-05 13:29:59
"40","thous","Reference","Africa_Northern",2080,248377,2024-02-05 13:29:59
"41","thous","Reference","Africa_Northern",2085,246266,2024-02-05 13:29:59
"42","thous","Reference","Africa_Northern",2090,243811,2024-02-05 13:29:59
"43","thous","Reference","Africa_Northern",2095,240965,2024-02-05 13:29:59
"44","thous","Reference","Africa_Northern",2100,237829,2024-02-05 13:29:59
"45","thous","Reference","Africa_Southern",1975,53046,2024-02-05 13:29:59
"46","thous","Reference","Africa_Southern",1990,83159,2024-02-05 13:29:59
"47","thous","Reference","Africa_Southern",2005,121701,2024-02-05 13:29:59
"48","thous","Reference","Africa_Southern",2010,139244,2024-02-05 13:29:59
"49","thous","Reference","Africa_Southern",2015,160447,2024-02-05 13:29:59
"50","thous","Reference","Africa_Southern",2020,179810,2024-02-05 13:29:59
