"","Units","scenario","region","year","value","rundate"
"1","thous","Policytest","Africa_Eastern",1975,91890,2024-03-25 14:23:32
"2","thous","Policytest","Africa_Eastern",1990,145593,2024-03-25 14:23:32
"3","thous","Policytest","Africa_Eastern",2005,222829,2024-03-25 14:23:32
"4","thous","Policytest","Africa_Eastern",2010,255333,2024-03-25 14:23:32
"5","thous","Policytest","Africa_Eastern",2015,292560,2024-03-25 14:23:32
"6","thous","Policytest","Africa_Eastern",2020,327652,2024-03-25 14:23:32
"7","thous","Policytest","Africa_Eastern",2025,363312,2024-03-25 14:23:32
"8","thous","Policytest","Africa_Eastern",2030,398928,2024-03-25 14:23:32
"9","thous","Policytest","Africa_Eastern",2035,433912,2024-03-25 14:23:32
"10","thous","Policytest","Africa_Eastern",2040,467666,2024-03-25 14:23:32
"11","thous","Policytest","Africa_Eastern",2045,499664,2024-03-25 14:23:32
"12","thous","Policytest","Africa_Eastern",2050,529402,2024-03-25 14:23:32
"13","thous","Policytest","Africa_Eastern",2055,556634,2024-03-25 14:23:32
"14","thous","Policytest","Africa_Eastern",2060,581206,2024-03-25 14:23:32
"15","thous","Policytest","Africa_Eastern",2065,603136,2024-03-25 14:23:32
"16","thous","Policytest","Africa_Eastern",2070,622472,2024-03-25 14:23:32
"17","thous","Policytest","Africa_Eastern",2075,639201,2024-03-25 14:23:32
"18","thous","Policytest","Africa_Eastern",2080,653078,2024-03-25 14:23:32
"19","thous","Policytest","Africa_Eastern",2085,664120,2024-03-25 14:23:32
"20","thous","Policytest","Africa_Eastern",2090,672314,2024-03-25 14:23:32
"21","thous","Policytest","Africa_Eastern",2095,678024,2024-03-25 14:23:32
"22","thous","Policytest","Africa_Eastern",2100,681323,2024-03-25 14:23:32
"23","thous","Policytest","Africa_Northern",1975,81330,2024-03-25 14:23:32
"24","thous","Policytest","Africa_Northern",1990,119597,2024-03-25 14:23:32
"25","thous","Policytest","Africa_Northern",2005,155472,2024-03-25 14:23:32
"26","thous","Policytest","Africa_Northern",2010,168395,2024-03-25 14:23:32
"27","thous","Policytest","Africa_Northern",2015,184959,2024-03-25 14:23:32
"28","thous","Policytest","Africa_Northern",2020,196801,2024-03-25 14:23:32
"29","thous","Policytest","Africa_Northern",2025,207480,2024-03-25 14:23:32
"30","thous","Policytest","Africa_Northern",2030,216852,2024-03-25 14:23:32
"31","thous","Policytest","Africa_Northern",2035,225136,2024-03-25 14:23:32
"32","thous","Policytest","Africa_Northern",2040,232477,2024-03-25 14:23:32
"33","thous","Policytest","Africa_Northern",2045,238781,2024-03-25 14:23:32
"34","thous","Policytest","Africa_Northern",2050,243731,2024-03-25 14:23:32
"35","thous","Policytest","Africa_Northern",2055,247357,2024-03-25 14:23:32
"36","thous","Policytest","Africa_Northern",2060,249677,2024-03-25 14:23:32
"37","thous","Policytest","Africa_Northern",2065,250848,2024-03-25 14:23:32
"38","thous","Policytest","Africa_Northern",2070,250893,2024-03-25 14:23:32
"39","thous","Policytest","Africa_Northern",2075,249970,2024-03-25 14:23:32
"40","thous","Policytest","Africa_Northern",2080,248377,2024-03-25 14:23:32
"41","thous","Policytest","Africa_Northern",2085,246266,2024-03-25 14:23:32
"42","thous","Policytest","Africa_Northern",2090,243811,2024-03-25 14:23:32
"43","thous","Policytest","Africa_Northern",2095,240965,2024-03-25 14:23:32
"44","thous","Policytest","Africa_Northern",2100,237829,2024-03-25 14:23:32
"45","thous","Policytest","Africa_Southern",1975,53046,2024-03-25 14:23:32
"46","thous","Policytest","Africa_Southern",1990,83159,2024-03-25 14:23:32
"47","thous","Policytest","Africa_Southern",2005,121701,2024-03-25 14:23:32
"48","thous","Policytest","Africa_Southern",2010,139244,2024-03-25 14:23:32
"49","thous","Policytest","Africa_Southern",2015,160447,2024-03-25 14:23:32
"50","thous","Policytest","Africa_Southern",2020,179810,2024-03-25 14:23:32
"51","thous","Policytest","Africa_Southern",2025,199719,2024-03-25 14:23:32
"52","thous","Policytest","Africa_Southern",2030,219910,2024-03-25 14:23:32
"53","thous","Policytest","Africa_Southern",2035,240067,2024-03-25 14:23:32
"54","thous","Policytest","Africa_Southern",2040,260006,2024-03-25 14:23:32
"55","thous","Policytest","Africa_Southern",2045,279087,2024-03-25 14:23:32
"56","thous","Policytest","Africa_Southern",2050,297214,2024-03-25 14:23:32
"57","thous","Policytest","Africa_Southern",2055,313929,2024-03-25 14:23:32
"58","thous","Policytest","Africa_Southern",2060,329226,2024-03-25 14:23:32
"59","thous","Policytest","Africa_Southern",2065,343254,2024-03-25 14:23:32
"60","thous","Policytest","Africa_Southern",2070,355958,2024-03-25 14:23:32
"61","thous","Policytest","Africa_Southern",2075,367099,2024-03-25 14:23:32
"62","thous","Policytest","Africa_Southern",2080,376885,2024-03-25 14:23:32
"63","thous","Policytest","Africa_Southern",2085,385319,2024-03-25 14:23:32
"64","thous","Policytest","Africa_Southern",2090,392092,2024-03-25 14:23:32
"65","thous","Policytest","Africa_Southern",2095,397271,2024-03-25 14:23:32
"66","thous","Policytest","Africa_Southern",2100,400909,2024-03-25 14:23:32
"67","thous","Policytest","Africa_Western",1975,159160,2024-03-25 14:23:32
"68","thous","Policytest","Africa_Western",1990,239535,2024-03-25 14:23:32
"69","thous","Policytest","Africa_Western",2005,360464,2024-03-25 14:23:32
"70","thous","Policytest","Africa_Western",2010,415301,2024-03-25 14:23:32
"71","thous","Policytest","Africa_Western",2015,478031,2024-03-25 14:23:32
"72","thous","Policytest","Africa_Western",2020,537465,2024-03-25 14:23:32
"73","thous","Policytest","Africa_Western",2025,599748,2024-03-25 14:23:32
"74","thous","Policytest","Africa_Western",2030,664116,2024-03-25 14:23:32
"75","thous","Policytest","Africa_Western",2035,729808,2024-03-25 14:23:32
"76","thous","Policytest","Africa_Western",2040,795629,2024-03-25 14:23:32
"77","thous","Policytest","Africa_Western",2045,860599,2024-03-25 14:23:32
"78","thous","Policytest","Africa_Western",2050,924076,2024-03-25 14:23:32
"79","thous","Policytest","Africa_Western",2055,982617,2024-03-25 14:23:32
"80","thous","Policytest","Africa_Western",2060,1036430,2024-03-25 14:23:32
"81","thous","Policytest","Africa_Western",2065,1086770,2024-03-25 14:23:32
"82","thous","Policytest","Africa_Western",2070,1133100,2024-03-25 14:23:32
"83","thous","Policytest","Africa_Western",2075,1174800,2024-03-25 14:23:32
"84","thous","Policytest","Africa_Western",2080,1211620,2024-03-25 14:23:32
"85","thous","Policytest","Africa_Western",2085,1243150,2024-03-25 14:23:32
"86","thous","Policytest","Africa_Western",2090,1269550,2024-03-25 14:23:32
"87","thous","Policytest","Africa_Western",2095,1291420,2024-03-25 14:23:32
"88","thous","Policytest","Africa_Western",2100,1309180,2024-03-25 14:23:32
"89","thous","Policytest","Argentina",1975,25866,2024-03-25 14:23:32
"90","thous","Policytest","Argentina",1990,32619,2024-03-25 14:23:32
"91","thous","Policytest","Argentina",2005,38893,2024-03-25 14:23:32
"92","thous","Policytest","Argentina",2010,40896,2024-03-25 14:23:32
"93","thous","Policytest","Argentina",2015,43075,2024-03-25 14:23:32
"94","thous","Policytest","Argentina",2020,44637,2024-03-25 14:23:32
"95","thous","Policytest","Argentina",2025,46040,2024-03-25 14:23:32
"96","thous","Policytest","Argentina",2030,47286,2024-03-25 14:23:32
"97","thous","Policytest","Argentina",2035,48376,2024-03-25 14:23:32
"98","thous","Policytest","Argentina",2040,49321,2024-03-25 14:23:32
"99","thous","Policytest","Argentina",2045,50052,2024-03-25 14:23:32
"100","thous","Policytest","Argentina",2050,50587,2024-03-25 14:23:32
"101","thous","Policytest","Argentina",2055,50920,2024-03-25 14:23:32
"102","thous","Policytest","Argentina",2060,51055,2024-03-25 14:23:32
"103","thous","Policytest","Argentina",2065,51051,2024-03-25 14:23:32
"104","thous","Policytest","Argentina",2070,50881,2024-03-25 14:23:32
"105","thous","Policytest","Argentina",2075,50559,2024-03-25 14:23:32
"106","thous","Policytest","Argentina",2080,50101,2024-03-25 14:23:32
"107","thous","Policytest","Argentina",2085,49577,2024-03-25 14:23:32
"108","thous","Policytest","Argentina",2090,49002,2024-03-25 14:23:32
"109","thous","Policytest","Argentina",2095,48379,2024-03-25 14:23:32
"110","thous","Policytest","Argentina",2100,47716,2024-03-25 14:23:32
"111","thous","Policytest","Australia_NZ",1975,16856,2024-03-25 14:23:32
"112","thous","Policytest","Australia_NZ",1990,20359,2024-03-25 14:23:32
"113","thous","Policytest","Australia_NZ",2005,24314,2024-03-25 14:23:32
"114","thous","Policytest","Australia_NZ",2010,26525,2024-03-25 14:23:32
"115","thous","Policytest","Australia_NZ",2015,28547,2024-03-25 14:23:32
"116","thous","Policytest","Australia_NZ",2020,30619,2024-03-25 14:23:32
"117","thous","Policytest","Australia_NZ",2025,32663,2024-03-25 14:23:32
"118","thous","Policytest","Australia_NZ",2030,34591,2024-03-25 14:23:32
"119","thous","Policytest","Australia_NZ",2035,36424,2024-03-25 14:23:32
"120","thous","Policytest","Australia_NZ",2040,38212,2024-03-25 14:23:32
"121","thous","Policytest","Australia_NZ",2045,39967,2024-03-25 14:23:32
"122","thous","Policytest","Australia_NZ",2050,41667,2024-03-25 14:23:32
"123","thous","Policytest","Australia_NZ",2055,43281,2024-03-25 14:23:32
"124","thous","Policytest","Australia_NZ",2060,44784,2024-03-25 14:23:32
"125","thous","Policytest","Australia_NZ",2065,46069,2024-03-25 14:23:32
"126","thous","Policytest","Australia_NZ",2070,47145,2024-03-25 14:23:32
"127","thous","Policytest","Australia_NZ",2075,48016,2024-03-25 14:23:32
"128","thous","Policytest","Australia_NZ",2080,48667,2024-03-25 14:23:32
"129","thous","Policytest","Australia_NZ",2085,49082,2024-03-25 14:23:32
"130","thous","Policytest","Australia_NZ",2090,49233,2024-03-25 14:23:32
"131","thous","Policytest","Australia_NZ",2095,49103,2024-03-25 14:23:32
"132","thous","Policytest","Australia_NZ",2100,48725,2024-03-25 14:23:32
"133","thous","Policytest","Brazil",1975,107216,2024-03-25 14:23:32
"134","thous","Policytest","Brazil",1990,149003,2024-03-25 14:23:32
"135","thous","Policytest","Brazil",2005,186127,2024-03-25 14:23:32
"136","thous","Policytest","Brazil",2010,195714,2024-03-25 14:23:32
"137","thous","Policytest","Brazil",2015,204472,2024-03-25 14:23:32
"138","thous","Policytest","Brazil",2020,212114,2024-03-25 14:23:32
"139","thous","Policytest","Brazil",2025,218835,2024-03-25 14:23:32
"140","thous","Policytest","Brazil",2030,224269,2024-03-25 14:23:32
"141","thous","Policytest","Brazil",2035,228418,2024-03-25 14:23:32
"142","thous","Policytest","Brazil",2040,231336,2024-03-25 14:23:32
"143","thous","Policytest","Brazil",2045,233038,2024-03-25 14:23:32
"144","thous","Policytest","Brazil",2050,233377,2024-03-25 14:23:32
"145","thous","Policytest","Brazil",2055,232304,2024-03-25 14:23:32
"146","thous","Policytest","Brazil",2060,230153,2024-03-25 14:23:32
"147","thous","Policytest","Brazil",2065,227015,2024-03-25 14:23:32
"148","thous","Policytest","Brazil",2070,223022,2024-03-25 14:23:32
"149","thous","Policytest","Brazil",2075,218264,2024-03-25 14:23:32
"150","thous","Policytest","Brazil",2080,212960,2024-03-25 14:23:32
"151","thous","Policytest","Brazil",2085,207279,2024-03-25 14:23:32
"152","thous","Policytest","Brazil",2090,201425,2024-03-25 14:23:32
"153","thous","Policytest","Brazil",2095,195525,2024-03-25 14:23:32
"154","thous","Policytest","Brazil",2100,189641,2024-03-25 14:23:32
"155","thous","Policytest","Canada",1975,23059,2024-03-25 14:23:32
"156","thous","Policytest","Canada",1990,27541,2024-03-25 14:23:32
"157","thous","Policytest","Canada",2005,32164,2024-03-25 14:23:32
"158","thous","Policytest","Canada",2010,34148,2024-03-25 14:23:32
"159","thous","Policytest","Canada",2015,36027,2024-03-25 14:23:32
"160","thous","Policytest","Canada",2020,37942,2024-03-25 14:23:32
"161","thous","Policytest","Canada",2025,39827,2024-03-25 14:23:32
"162","thous","Policytest","Canada",2030,41578,2024-03-25 14:23:32
"163","thous","Policytest","Canada",2035,43194,2024-03-25 14:23:32
"164","thous","Policytest","Canada",2040,44749,2024-03-25 14:23:32
"165","thous","Policytest","Canada",2045,46285,2024-03-25 14:23:32
"166","thous","Policytest","Canada",2050,47808,2024-03-25 14:23:32
"167","thous","Policytest","Canada",2055,49283,2024-03-25 14:23:32
"168","thous","Policytest","Canada",2060,50702,2024-03-25 14:23:32
"169","thous","Policytest","Canada",2065,51943,2024-03-25 14:23:32
"170","thous","Policytest","Canada",2070,53010,2024-03-25 14:23:32
"171","thous","Policytest","Canada",2075,53899,2024-03-25 14:23:32
"172","thous","Policytest","Canada",2080,54577,2024-03-25 14:23:32
"173","thous","Policytest","Canada",2085,55014,2024-03-25 14:23:32
