"","Units","scenario","region","year","value","rundate"
"1","thous","Policytest","Africa_Eastern",1975,91890,2024-03-25 13:48:39
"2","thous","Policytest","Africa_Eastern",1990,145593,2024-03-25 13:48:39
"3","thous","Policytest","Africa_Eastern",2005,222829,2024-03-25 13:48:39
"4","thous","Policytest","Africa_Eastern",2010,255333,2024-03-25 13:48:39
"5","thous","Policytest","Africa_Eastern",2015,292560,2024-03-25 13:48:39
"6","thous","Policytest","Africa_Eastern",2020,327652,2024-03-25 13:48:39
"7","thous","Policytest","Africa_Eastern",2025,363312,2024-03-25 13:48:39
"8","thous","Policytest","Africa_Eastern",2030,398928,2024-03-25 13:48:39
"9","thous","Policytest","Africa_Eastern",2035,433912,2024-03-25 13:48:39
"10","thous","Policytest","Africa_Eastern",2040,467666,2024-03-25 13:48:39
"11","thous","Policytest","Africa_Eastern",2045,499664,2024-03-25 13:48:39
"12","thous","Policytest","Africa_Eastern",2050,529402,2024-03-25 13:48:39
"13","thous","Policytest","Africa_Eastern",2055,556634,2024-03-25 13:48:39
"14","thous","Policytest","Africa_Eastern",2060,581206,2024-03-25 13:48:39
"15","thous","Policytest","Africa_Eastern",2065,603136,2024-03-25 13:48:39
"16","thous","Policytest","Africa_Eastern",2070,622472,2024-03-25 13:48:39
"17","thous","Policytest","Africa_Eastern",2075,639201,2024-03-25 13:48:39
"18","thous","Policytest","Africa_Eastern",2080,653078,2024-03-25 13:48:39
"19","thous","Policytest","Africa_Eastern",2085,664120,2024-03-25 13:48:39
"20","thous","Policytest","Africa_Eastern",2090,672314,2024-03-25 13:48:39
"21","thous","Policytest","Africa_Eastern",2095,678024,2024-03-25 13:48:39
"22","thous","Policytest","Africa_Eastern",2100,681323,2024-03-25 13:48:39
"23","thous","Policytest","Africa_Northern",1975,81330,2024-03-25 13:48:39
"24","thous","Policytest","Africa_Northern",1990,119597,2024-03-25 13:48:39
"25","thous","Policytest","Africa_Northern",2005,155472,2024-03-25 13:48:39
"26","thous","Policytest","Africa_Northern",2010,168395,2024-03-25 13:48:39
"27","thous","Policytest","Africa_Northern",2015,184959,2024-03-25 13:48:39
"28","thous","Policytest","Africa_Northern",2020,196801,2024-03-25 13:48:39
"29","thous","Policytest","Africa_Northern",2025,207480,2024-03-25 13:48:39
"30","thous","Policytest","Africa_Northern",2030,216852,2024-03-25 13:48:39
"31","thous","Policytest","Africa_Northern",2035,225136,2024-03-25 13:48:39
"32","thous","Policytest","Africa_Northern",2040,232477,2024-03-25 13:48:39
"33","thous","Policytest","Africa_Northern",2045,238781,2024-03-25 13:48:39
"34","thous","Policytest","Africa_Northern",2050,243731,2024-03-25 13:48:39
"35","thous","Policytest","Africa_Northern",2055,247357,2024-03-25 13:48:39
"36","thous","Policytest","Africa_Northern",2060,249677,2024-03-25 13:48:39
"37","thous","Policytest","Africa_Northern",2065,250848,2024-03-25 13:48:39
"38","thous","Policytest","Africa_Northern",2070,250893,2024-03-25 13:48:39
"39","thous","Policytest","Africa_Northern",2075,249970,2024-03-25 13:48:39
"40","thous","Policytest","Africa_Northern",2080,248377,2024-03-25 13:48:39
"41","thous","Policytest","Africa_Northern",2085,246266,2024-03-25 13:48:39
"42","thous","Policytest","Africa_Northern",2090,243811,2024-03-25 13:48:39
"43","thous","Policytest","Africa_Northern",2095,240965,2024-03-25 13:48:39
"44","thous","Policytest","Africa_Northern",2100,237829,2024-03-25 13:48:39
"45","thous","Policytest","Africa_Southern",1975,53046,2024-03-25 13:48:39
"46","thous","Policytest","Africa_Southern",1990,83159,2024-03-25 13:48:39
"47","thous","Policytest","Africa_Southern",2005,121701,2024-03-25 13:48:39
"48","thous","Policytest","Africa_Southern",2010,139244,2024-03-25 13:48:39
"49","thous","Policytest","Africa_Southern",2015,160447,2024-03-25 13:48:39
"50","thous","Policytest","Africa_Southern",2020,179810,2024-03-25 13:48:39
"51","thous","Policytest","Africa_Southern",2025,199719,2024-03-25 13:48:39
"52","thous","Policytest","Africa_Southern",2030,219910,2024-03-25 13:48:39
"53","thous","Policytest","Africa_Southern",2035,240067,2024-03-25 13:48:39
"54","thous","Policytest","Africa_Southern",2040,260006,2024-03-25 13:48:39
"55","thous","Policytest","Africa_Southern",2045,279087,2024-03-25 13:48:39
"56","thous","Policytest","Africa_Southern",2050,297214,2024-03-25 13:48:39
"57","thous","Policytest","Africa_Southern",2055,313929,2024-03-25 13:48:39
"58","thous","Policytest","Africa_Southern",2060,329226,2024-03-25 13:48:39
"59","thous","Policytest","Africa_Southern",2065,343254,2024-03-25 13:48:39
"60","thous","Policytest","Africa_Southern",2070,355958,2024-03-25 13:48:39
"61","thous","Policytest","Africa_Southern",2075,367099,2024-03-25 13:48:39
"62","thous","Policytest","Africa_Southern",2080,376885,2024-03-25 13:48:39
"63","thous","Policytest","Africa_Southern",2085,385319,2024-03-25 13:48:39
"64","thous","Policytest","Africa_Southern",2090,392092,2024-03-25 13:48:39
"65","thous","Policytest","Africa_Southern",2095,397271,2024-03-25 13:48:39
"66","thous","Policytest","Africa_Southern",2100,400909,2024-03-25 13:48:39
"67","thous","Policytest","Africa_Western",1975,159160,2024-03-25 13:48:39
"68","thous","Policytest","Africa_Western",1990,239535,2024-03-25 13:48:39
"69","thous","Policytest","Africa_Western",2005,360464,2024-03-25 13:48:39
"70","thous","Policytest","Africa_Western",2010,415301,2024-03-25 13:48:39
"71","thous","Policytest","Africa_Western",2015,478031,2024-03-25 13:48:39
"72","thous","Policytest","Africa_Western",2020,537465,2024-03-25 13:48:39
"73","thous","Policytest","Africa_Western",2025,599748,2024-03-25 13:48:39
"74","thous","Policytest","Africa_Western",2030,664116,2024-03-25 13:48:39
"75","thous","Policytest","Africa_Western",2035,729808,2024-03-25 13:48:39
"76","thous","Policytest","Africa_Western",2040,795629,2024-03-25 13:48:39
"77","thous","Policytest","Africa_Western",2045,860599,2024-03-25 13:48:39
"78","thous","Policytest","Africa_Western",2050,924076,2024-03-25 13:48:39
"79","thous","Policytest","Africa_Western",2055,982617,2024-03-25 13:48:39
"80","thous","Policytest","Africa_Western",2060,1036430,2024-03-25 13:48:39
"81","thous","Policytest","Africa_Western",2065,1086770,2024-03-25 13:48:39
"82","thous","Policytest","Africa_Western",2070,1133100,2024-03-25 13:48:39
