"","Units","scenario","region","year","value","rundate"
"1","thous","Policytest","Africa_Eastern",1975,91890,2024-03-25 15:02:00
"2","thous","Policytest","Africa_Eastern",1990,145593,2024-03-25 15:02:00
"3","thous","Policytest","Africa_Eastern",2005,222829,2024-03-25 15:02:00
"4","thous","Policytest","Africa_Eastern",2010,255333,2024-03-25 15:02:00
"5","thous","Policytest","Africa_Eastern",2015,292560,2024-03-25 15:02:00
"6","thous","Policytest","Africa_Eastern",2020,327652,2024-03-25 15:02:00
"7","thous","Policytest","Africa_Eastern",2025,363312,2024-03-25 15:02:00
"8","thous","Policytest","Africa_Eastern",2030,398928,2024-03-25 15:02:00
"9","thous","Policytest","Africa_Eastern",2035,433912,2024-03-25 15:02:00
"10","thous","Policytest","Africa_Eastern",2040,467666,2024-03-25 15:02:00
"11","thous","Policytest","Africa_Eastern",2045,499664,2024-03-25 15:02:00
"12","thous","Policytest","Africa_Eastern",2050,529402,2024-03-25 15:02:00
"13","thous","Policytest","Africa_Eastern",2055,556634,2024-03-25 15:02:00
"14","thous","Policytest","Africa_Eastern",2060,581206,2024-03-25 15:02:00
"15","thous","Policytest","Africa_Eastern",2065,603136,2024-03-25 15:02:00
"16","thous","Policytest","Africa_Eastern",2070,622472,2024-03-25 15:02:00
"17","thous","Policytest","Africa_Eastern",2075,639201,2024-03-25 15:02:00
"18","thous","Policytest","Africa_Eastern",2080,653078,2024-03-25 15:02:00
"19","thous","Policytest","Africa_Eastern",2085,664120,2024-03-25 15:02:00
"20","thous","Policytest","Africa_Eastern",2090,672314,2024-03-25 15:02:00
"21","thous","Policytest","Africa_Eastern",2095,678024,2024-03-25 15:02:00
"22","thous","Policytest","Africa_Eastern",2100,681323,2024-03-25 15:02:00
"23","thous","Policytest","Africa_Northern",1975,81330,2024-03-25 15:02:00
"24","thous","Policytest","Africa_Northern",1990,119597,2024-03-25 15:02:00
"25","thous","Policytest","Africa_Northern",2005,155472,2024-03-25 15:02:00
"26","thous","Policytest","Africa_Northern",2010,168395,2024-03-25 15:02:00
"27","thous","Policytest","Africa_Northern",2015,184959,2024-03-25 15:02:00
"28","thous","Policytest","Africa_Northern",2020,196801,2024-03-25 15:02:00
"29","thous","Policytest","Africa_Northern",2025,207480,2024-03-25 15:02:00
"30","thous","Policytest","Africa_Northern",2030,216852,2024-03-25 15:02:00
"31","thous","Policytest","Africa_Northern",2035,225136,2024-03-25 15:02:00
"32","thous","Policytest","Africa_Northern",2040,232477,2024-03-25 15:02:00
"33","thous","Policytest","Africa_Northern",2045,238781,2024-03-25 15:02:00
"34","thous","Policytest","Africa_Northern",2050,243731,2024-03-25 15:02:00
"35","thous","Policytest","Africa_Northern",2055,247357,2024-03-25 15:02:00
"36","thous","Policytest","Africa_Northern",2060,249677,2024-03-25 15:02:00
"37","thous","Policytest","Africa_Northern",2065,250848,2024-03-25 15:02:00
"38","thous","Policytest","Africa_Northern",2070,250893,2024-03-25 15:02:00
"39","thous","Policytest","Africa_Northern",2075,249970,2024-03-25 15:02:00
"40","thous","Policytest","Africa_Northern",2080,248377,2024-03-25 15:02:00
"41","thous","Policytest","Africa_Northern",2085,246266,2024-03-25 15:02:00
"42","thous","Policytest","Africa_Northern",2090,243811,2024-03-25 15:02:00
"43","thous","Policytest","Africa_Northern",2095,240965,2024-03-25 15:02:00
"44","thous","Policytest","Africa_Northern",2100,237829,2024-03-25 15:02:00
"45","thous","Policytest","Africa_Southern",1975,53046,2024-03-25 15:02:00
"46","thous","Policytest","Africa_Southern",1990,83159,2024-03-25 15:02:00
"47","thous","Policytest","Africa_Southern",2005,121701,2024-03-25 15:02:00
"48","thous","Policytest","Africa_Southern",2010,139244,2024-03-25 15:02:00
"49","thous","Policytest","Africa_Southern",2015,160447,2024-03-25 15:02:00
"50","thous","Policytest","Africa_Southern",2020,179810,2024-03-25 15:02:00
"51","thous","Policytest","Africa_Southern",2025,199719,2024-03-25 15:02:00
"52","thous","Policytest","Africa_Southern",2030,219910,2024-03-25 15:02:00
"53","thous","Policytest","Africa_Southern",2035,240067,2024-03-25 15:02:00
"54","thous","Policytest","Africa_Southern",2040,260006,2024-03-25 15:02:00
"55","thous","Policytest","Africa_Southern",2045,279087,2024-03-25 15:02:00
"56","thous","Policytest","Africa_Southern",2050,297214,2024-03-25 15:02:00
"57","thous","Policytest","Africa_Southern",2055,313929,2024-03-25 15:02:00
"58","thous","Policytest","Africa_Southern",2060,329226,2024-03-25 15:02:00
"59","thous","Policytest","Africa_Southern",2065,343254,2024-03-25 15:02:00
"60","thous","Policytest","Africa_Southern",2070,355958,2024-03-25 15:02:00
"61","thous","Policytest","Africa_Southern",2075,367099,2024-03-25 15:02:00
"62","thous","Policytest","Africa_Southern",2080,376885,2024-03-25 15:02:00
"63","thous","Policytest","Africa_Southern",2085,385319,2024-03-25 15:02:00
"64","thous","Policytest","Africa_Southern",2090,392092,2024-03-25 15:02:00
"65","thous","Policytest","Africa_Southern",2095,397271,2024-03-25 15:02:00
"66","thous","Policytest","Africa_Southern",2100,400909,2024-03-25 15:02:00
"67","thous","Policytest","Africa_Western",1975,159160,2024-03-25 15:02:00
"68","thous","Policytest","Africa_Western",1990,239535,2024-03-25 15:02:00
"69","thous","Policytest","Africa_Western",2005,360464,2024-03-25 15:02:00
"70","thous","Policytest","Africa_Western",2010,415301,2024-03-25 15:02:00
"71","thous","Policytest","Africa_Western",2015,478031,2024-03-25 15:02:00
