"","Units","scenario","region","fuel","year","value","rundate"
"1","EJ","Reference","Africa_Eastern","a oil",2005,0.581279,2024-02-05 11:54:21
"2","EJ","Reference","Africa_Eastern","a oil",2010,0.811771,2024-02-05 11:54:21
"3","EJ","Reference","Africa_Eastern","a oil",2015,0.985284,2024-02-05 11:54:21
"4","EJ","Reference","Africa_Eastern","a oil",2020,1.25248,2024-02-05 11:54:21
"5","EJ","Reference","Africa_Eastern","a oil",2025,1.35566,2024-02-05 11:54:21
"6","EJ","Reference","Africa_Eastern","a oil",2030,1.42237,2024-02-05 11:54:21
"7","EJ","Reference","Africa_Eastern","a oil",2035,1.56732,2024-02-05 11:54:21
"8","EJ","Reference","Africa_Eastern","a oil",2040,1.67417,2024-02-05 11:54:21
"9","EJ","Reference","Africa_Eastern","a oil",2045,1.50499,2024-02-05 11:54:21
"10","EJ","Reference","Africa_Eastern","a oil",2050,1.35191,2024-02-05 11:54:21
"11","EJ","Reference","Africa_Eastern","a oil",2055,1.26888,2024-02-05 11:54:21
"12","EJ","Reference","Africa_Eastern","a oil",2060,1.21769,2024-02-05 11:54:21
"13","EJ","Reference","Africa_Eastern","a oil",2065,1.14647,2024-02-05 11:54:21
"14","EJ","Reference","Africa_Eastern","a oil",2070,1.05994,2024-02-05 11:54:21
"15","EJ","Reference","Africa_Eastern","a oil",2075,0.921285,2024-02-05 11:54:21
"16","EJ","Reference","Africa_Eastern","a oil",2080,0.783875,2024-02-05 11:54:21
"17","EJ","Reference","Africa_Eastern","a oil",2085,0.669876,2024-02-05 11:54:21
"18","EJ","Reference","Africa_Eastern","a oil",2090,0.578906,2024-02-05 11:54:21
"19","EJ","Reference","Africa_Eastern","a oil",2095,0.470271,2024-02-05 11:54:21
"20","EJ","Reference","Africa_Eastern","a oil",2100,0.365835,2024-02-05 11:54:21
"21","EJ","Reference","Africa_Eastern","b natural gas",2005,0.0380846,2024-02-05 11:54:21
"22","EJ","Reference","Africa_Eastern","b natural gas",2010,0.0393054,2024-02-05 11:54:21
"23","EJ","Reference","Africa_Eastern","b natural gas",2015,0.0424984,2024-02-05 11:54:21
"24","EJ","Reference","Africa_Eastern","b natural gas",2020,0.0631094,2024-02-05 11:54:21
"25","EJ","Reference","Africa_Eastern","b natural gas",2025,0.0975143,2024-02-05 11:54:21
"26","EJ","Reference","Africa_Eastern","b natural gas",2030,0.1761538,2024-02-05 11:54:21
"27","EJ","Reference","Africa_Eastern","b natural gas",2035,0.3070484,2024-02-05 11:54:21
"28","EJ","Reference","Africa_Eastern","b natural gas",2040,0.4298356,2024-02-05 11:54:21
"29","EJ","Reference","Africa_Eastern","b natural gas",2045,0.55905605,2024-02-05 11:54:21
"30","EJ","Reference","Africa_Eastern","b natural gas",2050,0.65266701,2024-02-05 11:54:21
"31","EJ","Reference","Africa_Eastern","b natural gas",2055,0.706348844,2024-02-05 11:54:21
"32","EJ","Reference","Africa_Eastern","b natural gas",2060,0.7089912,2024-02-05 11:54:21
"33","EJ","Reference","Africa_Eastern","b natural gas",2065,0.6764334,2024-02-05 11:54:21
"34","EJ","Reference","Africa_Eastern","b natural gas",2070,0.6303611,2024-02-05 11:54:21
"35","EJ","Reference","Africa_Eastern","b natural gas",2075,0.5734456,2024-02-05 11:54:21
"36","EJ","Reference","Africa_Eastern","b natural gas",2080,0.5127638,2024-02-05 11:54:21
"37","EJ","Reference","Africa_Eastern","b natural gas",2085,0.4578547,2024-02-05 11:54:21
"38","EJ","Reference","Africa_Eastern","b natural gas",2090,0.4130129,2024-02-05 11:54:21
"39","EJ","Reference","Africa_Eastern","b natural gas",2095,0.3909263,2024-02-05 11:54:21
"40","EJ","Reference","Africa_Eastern","b natural gas",2100,0.3807391,2024-02-05 11:54:21
"41","EJ","Reference","Africa_Eastern","c coal",1975,0.00202275,2024-02-05 11:54:21
"42","EJ","Reference","Africa_Eastern","c coal",1990,0.00259314,2024-02-05 11:54:21
"43","EJ","Reference","Africa_Eastern","c coal",2005,0.00614678,2024-02-05 11:54:21
"44","EJ","Reference","Africa_Eastern","c coal",2010,0.00321168,2024-02-05 11:54:21
"45","EJ","Reference","Africa_Eastern","c coal",2015,0.00245694,2024-02-05 11:54:21
"46","EJ","Reference","Africa_Eastern","c coal",2020,0.00553989,2024-02-05 11:54:21
"47","EJ","Reference","Africa_Eastern","c coal",2025,0.00738492,2024-02-05 11:54:21
"48","EJ","Reference","Africa_Eastern","c coal",2030,0.0102849,2024-02-05 11:54:21
"49","EJ","Reference","Africa_Eastern","c coal",2035,0.0132852,2024-02-05 11:54:21
"50","EJ","Reference","Africa_Eastern","c coal",2040,0.0172699,2024-02-05 11:54:21
"51","EJ","Reference","Africa_Eastern","c coal",2045,0.022682,2024-02-05 11:54:21
"52","EJ","Reference","Africa_Eastern","c coal",2050,0.0285919,2024-02-05 11:54:21
"53","EJ","Reference","Africa_Eastern","c coal",2055,0.0379055,2024-02-05 11:54:21
"54","EJ","Reference","Africa_Eastern","c coal",2060,0.0485228,2024-02-05 11:54:21
"55","EJ","Reference","Africa_Eastern","c coal",2065,0.0611409,2024-02-05 11:54:21
"56","EJ","Reference","Africa_Eastern","c coal",2070,0.073444,2024-02-05 11:54:21
"57","EJ","Reference","Africa_Eastern","c coal",2075,0.0847173,2024-02-05 11:54:21
"58","EJ","Reference","Africa_Eastern","c coal",2080,0.0901836,2024-02-05 11:54:21
"59","EJ","Reference","Africa_Eastern","c coal",2085,0.0838173,2024-02-05 11:54:21
"60","EJ","Reference","Africa_Eastern","c coal",2090,0.0756646,2024-02-05 11:54:21
"61","EJ","Reference","Africa_Eastern","c coal",2095,0.0649831,2024-02-05 11:54:21
"62","EJ","Reference","Africa_Eastern","c coal",2100,0.0516261,2024-02-05 11:54:21
"63","EJ","Reference","Africa_Eastern","d biomass",1975,0.282644,2024-02-05 11:54:21
"64","EJ","Reference","Africa_Eastern","d biomass",1990,0.650748,2024-02-05 11:54:21
"65","EJ","Reference","Africa_Eastern","d biomass",2005,0.982977,2024-02-05 11:54:21
"66","EJ","Reference","Africa_Eastern","d biomass",2010,1.078565593,2024-02-05 11:54:21
"67","EJ","Reference","Africa_Eastern","d biomass",2015,1.238177402,2024-02-05 11:54:21
"68","EJ","Reference","Africa_Eastern","d biomass",2020,1.3824611354353,2024-02-05 11:54:21
"69","EJ","Reference","Africa_Eastern","d biomass",2025,1.9450801618086,2024-02-05 11:54:21
"70","EJ","Reference","Africa_Eastern","d biomass",2030,2.9657815313828,2024-02-05 11:54:21
"71","EJ","Reference","Africa_Eastern","d biomass",2035,4.345839086642,2024-02-05 11:54:21
"72","EJ","Reference","Africa_Eastern","d biomass",2040,5.9706334737055,2024-02-05 11:54:21
"73","EJ","Reference","Africa_Eastern","d biomass",2045,7.8112041826412,2024-02-05 11:54:21
"74","EJ","Reference","Africa_Eastern","d biomass",2050,9.624610104311,2024-02-05 11:54:21
"75","EJ","Reference","Africa_Eastern","d biomass",2055,11.2211168336357,2024-02-05 11:54:21
"76","EJ","Reference","Africa_Eastern","d biomass",2060,12.5191883732186,2024-02-05 11:54:21
"77","EJ","Reference","Africa_Eastern","d biomass",2065,13.5200029331323,2024-02-05 11:54:21
"78","EJ","Reference","Africa_Eastern","d biomass",2070,14.2575540511458,2024-02-05 11:54:21
"79","EJ","Reference","Africa_Eastern","d biomass",2075,14.7580235719828,2024-02-05 11:54:21
"80","EJ","Reference","Africa_Eastern","d biomass",2080,15.067340365873,2024-02-05 11:54:21
"81","EJ","Reference","Africa_Eastern","d biomass",2085,15.275068101608,2024-02-05 11:54:21
"82","EJ","Reference","Africa_Eastern","d biomass",2090,15.434851345731,2024-02-05 11:54:21
"83","EJ","Reference","Africa_Eastern","d biomass",2095,15.568211941843,2024-02-05 11:54:21
"84","EJ","Reference","Africa_Eastern","d biomass",2100,15.541015972944,2024-02-05 11:54:21
"85","EJ","Reference","Africa_Eastern","e nuclear",2020,0.00122782573,2024-02-05 11:54:21
"86","EJ","Reference","Africa_Eastern","e nuclear",2025,0.01257656832,2024-02-05 11:54:21
"87","EJ","Reference","Africa_Eastern","e nuclear",2030,0.06481338018,2024-02-05 11:54:21
"88","EJ","Reference","Africa_Eastern","e nuclear",2035,0.18151877171,2024-02-05 11:54:21
"89","EJ","Reference","Africa_Eastern","e nuclear",2040,0.37395447925,2024-02-05 11:54:21
"90","EJ","Reference","Africa_Eastern","e nuclear",2045,0.65462671858,2024-02-05 11:54:21
"91","EJ","Reference","Africa_Eastern","e nuclear",2050,1.00653730817,2024-02-05 11:54:21
"92","EJ","Reference","Africa_Eastern","e nuclear",2055,1.40326912617,2024-02-05 11:54:21
"93","EJ","Reference","Africa_Eastern","e nuclear",2060,1.82333569879,2024-02-05 11:54:21
"94","EJ","Reference","Africa_Eastern","e nuclear",2065,2.25034850404,2024-02-05 11:54:21
"95","EJ","Reference","Africa_Eastern","e nuclear",2070,2.66172265389,2024-02-05 11:54:21
"96","EJ","Reference","Africa_Eastern","e nuclear",2075,3.03949621856,2024-02-05 11:54:21
"97","EJ","Reference","Africa_Eastern","e nuclear",2080,3.37190620036,2024-02-05 11:54:21
"98","EJ","Reference","Africa_Eastern","e nuclear",2085,3.661612295,2024-02-05 11:54:21
"99","EJ","Reference","Africa_Eastern","e nuclear",2090,3.8849296959,2024-02-05 11:54:21
"100","EJ","Reference","Africa_Eastern","e nuclear",2095,4.0212153023,2024-02-05 11:54:21
"101","EJ","Reference","Africa_Eastern","e nuclear",2100,4.0578215599,2024-02-05 11:54:21
"102","EJ","Reference","Africa_Eastern","f hydro",1990,0.0220885,2024-02-05 11:54:21
"103","EJ","Reference","Africa_Eastern","f hydro",2005,0.0372506,2024-02-05 11:54:21
"104","EJ","Reference","Africa_Eastern","f hydro",2010,0.0651303,2024-02-05 11:54:21
"105","EJ","Reference","Africa_Eastern","f hydro",2015,0.0967141,2024-02-05 11:54:21
"106","EJ","Reference","Africa_Eastern","f hydro",2020,0.124544,2024-02-05 11:54:21
"107","EJ","Reference","Africa_Eastern","f hydro",2025,0.152375,2024-02-05 11:54:21
"108","EJ","Reference","Africa_Eastern","f hydro",2030,0.180205,2024-02-05 11:54:21
"109","EJ","Reference","Africa_Eastern","f hydro",2035,0.208035,2024-02-05 11:54:21
"110","EJ","Reference","Africa_Eastern","f hydro",2040,0.235866,2024-02-05 11:54:21
"111","EJ","Reference","Africa_Eastern","f hydro",2045,0.263696,2024-02-05 11:54:21
"112","EJ","Reference","Africa_Eastern","f hydro",2050,0.291526,2024-02-05 11:54:21
"113","EJ","Reference","Africa_Eastern","f hydro",2055,0.319356,2024-02-05 11:54:21
"114","EJ","Reference","Africa_Eastern","f hydro",2060,0.347187,2024-02-05 11:54:21
"115","EJ","Reference","Africa_Eastern","f hydro",2065,0.375017,2024-02-05 11:54:21
"116","EJ","Reference","Africa_Eastern","f hydro",2070,0.402847,2024-02-05 11:54:21
"117","EJ","Reference","Africa_Eastern","f hydro",2075,0.430678,2024-02-05 11:54:21
"118","EJ","Reference","Africa_Eastern","f hydro",2080,0.458508,2024-02-05 11:54:21
"119","EJ","Reference","Africa_Eastern","f hydro",2085,0.486338,2024-02-05 11:54:21
"120","EJ","Reference","Africa_Eastern","f hydro",2090,0.514169,2024-02-05 11:54:21
"121","EJ","Reference","Africa_Eastern","f hydro",2095,0.541999,2024-02-05 11:54:21
"122","EJ","Reference","Africa_Eastern","f hydro",2100,0.569829,2024-02-05 11:54:21
"123","EJ","Reference","Africa_Eastern","g wind",2005,1.03005e-05,2024-02-05 11:54:21
"124","EJ","Reference","Africa_Eastern","g wind",2010,0.000108405,2024-02-05 11:54:21
