"","Units","scenario","region","input","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","water_td_an_W",1975,0.062456024902,2024-02-05 11:54:21
"2","km^3","Reference","Africa_Eastern","water_td_an_W",1990,2.69706344,2024-02-05 11:54:21
"3","km^3","Reference","Africa_Eastern","water_td_an_W",2005,4.5409123,2024-02-05 11:54:21
"4","km^3","Reference","Africa_Eastern","water_td_an_W",2010,5.22457885,2024-02-05 11:54:21
"5","km^3","Reference","Africa_Eastern","water_td_an_W",2015,5.71423152,2024-02-05 11:54:21
"6","km^3","Reference","Africa_Eastern","water_td_an_W",2020,6.47416463,2024-02-05 11:54:21
"7","km^3","Reference","Africa_Eastern","water_td_an_W",2025,7.41194036,2024-02-05 11:54:21
"8","km^3","Reference","Africa_Eastern","water_td_an_W",2030,8.78232675,2024-02-05 11:54:21
"9","km^3","Reference","Africa_Eastern","water_td_an_W",2035,10.36695984,2024-02-05 11:54:21
"10","km^3","Reference","Africa_Eastern","water_td_an_W",2040,12.04961282,2024-02-05 11:54:21
"11","km^3","Reference","Africa_Eastern","water_td_an_W",2045,13.7034772,2024-02-05 11:54:21
"12","km^3","Reference","Africa_Eastern","water_td_an_W",2050,15.2167271,2024-02-05 11:54:21
"13","km^3","Reference","Africa_Eastern","water_td_an_W",2055,16.5129635,2024-02-05 11:54:21
"14","km^3","Reference","Africa_Eastern","water_td_an_W",2060,17.5909123,2024-02-05 11:54:21
"15","km^3","Reference","Africa_Eastern","water_td_an_W",2065,18.4746076,2024-02-05 11:54:21
"16","km^3","Reference","Africa_Eastern","water_td_an_W",2070,19.1874912,2024-02-05 11:54:21
"17","km^3","Reference","Africa_Eastern","water_td_an_W",2075,19.7474243,2024-02-05 11:54:21
"18","km^3","Reference","Africa_Eastern","water_td_an_W",2080,20.1661678,2024-02-05 11:54:21
"19","km^3","Reference","Africa_Eastern","water_td_an_W",2085,20.4675954,2024-02-05 11:54:21
"20","km^3","Reference","Africa_Eastern","water_td_an_W",2090,20.6629023,2024-02-05 11:54:21
"21","km^3","Reference","Africa_Eastern","water_td_an_W",2095,20.7591771,2024-02-05 11:54:21
"22","km^3","Reference","Africa_Eastern","water_td_an_W",2100,20.7406812,2024-02-05 11:54:21
"23","km^3","Reference","Africa_Eastern","water_td_elec_W",1990,0.05197932264,2024-02-05 11:54:21
"24","km^3","Reference","Africa_Eastern","water_td_elec_W",2005,0.163323254761,2024-02-05 11:54:21
"25","km^3","Reference","Africa_Eastern","water_td_elec_W",2010,0.183498629917,2024-02-05 11:54:21
"26","km^3","Reference","Africa_Eastern","water_td_elec_W",2015,0.236535584312,2024-02-05 11:54:21
"27","km^3","Reference","Africa_Eastern","water_td_elec_W",2020,0.358102877381023,2024-02-05 11:54:21
"28","km^3","Reference","Africa_Eastern","water_td_elec_W",2025,0.425572883040023,2024-02-05 11:54:21
"29","km^3","Reference","Africa_Eastern","water_td_elec_W",2030,0.657507969031523,2024-02-05 11:54:21
"30","km^3","Reference","Africa_Eastern","water_td_elec_W",2035,1.06911121607752,2024-02-05 11:54:21
"31","km^3","Reference","Africa_Eastern","water_td_elec_W",2040,1.65303127019252,2024-02-05 11:54:21
"32","km^3","Reference","Africa_Eastern","water_td_elec_W",2045,2.42230150100752,2024-02-05 11:54:21
"33","km^3","Reference","Africa_Eastern","water_td_elec_W",2050,3.3584566791576,2024-02-05 11:54:21
"34","km^3","Reference","Africa_Eastern","water_td_elec_W",2055,4.4625434184763,2024-02-05 11:54:21
"35","km^3","Reference","Africa_Eastern","water_td_elec_W",2060,5.649727270192,2024-02-05 11:54:21
"36","km^3","Reference","Africa_Eastern","water_td_elec_W",2065,6.86777067044,2024-02-05 11:54:21
"37","km^3","Reference","Africa_Eastern","water_td_elec_W",2070,8.072569121589,2024-02-05 11:54:21
"38","km^3","Reference","Africa_Eastern","water_td_elec_W",2075,9.17898719013,2024-02-05 11:54:21
"39","km^3","Reference","Africa_Eastern","water_td_elec_W",2080,10.12047157419,2024-02-05 11:54:21
"40","km^3","Reference","Africa_Eastern","water_td_elec_W",2085,10.9766685266,2024-02-05 11:54:21
"41","km^3","Reference","Africa_Eastern","water_td_elec_W",2090,11.6889217361,2024-02-05 11:54:21
"42","km^3","Reference","Africa_Eastern","water_td_elec_W",2095,12.2243963572,2024-02-05 11:54:21
"43","km^3","Reference","Africa_Eastern","water_td_elec_W",2100,12.39803926,2024-02-05 11:54:21
"44","km^3","Reference","Africa_Eastern","water_td_ind_W",1975,0.0446287,2024-02-05 11:54:21
"45","km^3","Reference","Africa_Eastern","water_td_ind_W",1990,0.108716,2024-02-05 11:54:21
"46","km^3","Reference","Africa_Eastern","water_td_ind_W",2005,0.201548,2024-02-05 11:54:21
"47","km^3","Reference","Africa_Eastern","water_td_ind_W",2010,0.25629,2024-02-05 11:54:21
"48","km^3","Reference","Africa_Eastern","water_td_ind_W",2015,0.412025,2024-02-05 11:54:21
"49","km^3","Reference","Africa_Eastern","water_td_ind_W",2020,0.510064,2024-02-05 11:54:21
