"","Units","scenario","region","sector","year","value","rundate"
"1","MTC","Reference","Africa_Eastern","H2 central production",2025,0.0324907,2024-02-05 13:29:59
"2","MTC","Reference","Africa_Eastern","H2 central production",2030,0.21109553,2024-02-05 13:29:59
"3","MTC","Reference","Africa_Eastern","H2 central production",2035,0.54688919,2024-02-05 13:29:59
"4","MTC","Reference","Africa_Eastern","H2 central production",2040,0.96938414,2024-02-05 13:29:59
"5","MTC","Reference","Africa_Eastern","H2 central production",2045,1.49647337,2024-02-05 13:29:59
"6","MTC","Reference","Africa_Eastern","H2 central production",2050,2.19389257,2024-02-05 13:29:59
"7","MTC","Reference","Africa_Eastern","H2 central production",2055,3.05420694,2024-02-05 13:29:59
"8","MTC","Reference","Africa_Eastern","H2 central production",2060,4.12311975,2024-02-05 13:29:59
"9","MTC","Reference","Africa_Eastern","H2 central production",2065,5.3117189,2024-02-05 13:29:59
"10","MTC","Reference","Africa_Eastern","H2 central production",2070,6.6076699,2024-02-05 13:29:59
"11","MTC","Reference","Africa_Eastern","H2 central production",2075,7.9797686,2024-02-05 13:29:59
"12","MTC","Reference","Africa_Eastern","H2 central production",2080,9.3167317,2024-02-05 13:29:59
"13","MTC","Reference","Africa_Eastern","H2 central production",2085,10.636414,2024-02-05 13:29:59
"14","MTC","Reference","Africa_Eastern","H2 central production",2090,11.92473,2024-02-05 13:29:59
"15","MTC","Reference","Africa_Eastern","H2 central production",2095,13.032253,2024-02-05 13:29:59
"16","MTC","Reference","Africa_Eastern","H2 central production",2100,14.013898,2024-02-05 13:29:59
"17","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2025,0.00824598,2024-02-05 13:29:59
"18","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2030,0.04903095,2024-02-05 13:29:59
"19","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2035,0.1697471,2024-02-05 13:29:59
"20","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2040,0.34481972,2024-02-05 13:29:59
"21","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2045,0.5712565,2024-02-05 13:29:59
"22","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2050,0.8688314,2024-02-05 13:29:59
"23","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2055,1.243042,2024-02-05 13:29:59
"24","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2060,1.767585,2024-02-05 13:29:59
"25","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2065,2.495051,2024-02-05 13:29:59
"26","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2070,3.486389,2024-02-05 13:29:59
"27","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2075,4.75535,2024-02-05 13:29:59
"28","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2080,6.216793,2024-02-05 13:29:59
"29","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2085,7.845611,2024-02-05 13:29:59
"30","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2090,9.57446,2024-02-05 13:29:59
"31","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2095,11.28826,2024-02-05 13:29:59
"32","MTC","Reference","Africa_Eastern","H2 wholesale dispensing",2100,13.03436,2024-02-05 13:29:59
"33","MTC","Reference","Africa_Eastern","N fertilizer",1975,0.00425899,2024-02-05 13:29:59
"34","MTC","Reference","Africa_Eastern","N fertilizer",1990,0.0117654,2024-02-05 13:29:59
"35","MTC","Reference","Africa_Eastern","N fertilizer",2005,0.00132837,2024-02-05 13:29:59
"36","MTC","Reference","Africa_Eastern","N fertilizer",2020,0.0442594,2024-02-05 13:29:59
"37","MTC","Reference","Africa_Eastern","N fertilizer",2025,0.14138446,2024-02-05 13:29:59
"38","MTC","Reference","Africa_Eastern","N fertilizer",2030,0.20744006,2024-02-05 13:29:59
"39","MTC","Reference","Africa_Eastern","N fertilizer",2035,0.26930645,2024-02-05 13:29:59
"40","MTC","Reference","Africa_Eastern","N fertilizer",2040,0.30960245,2024-02-05 13:29:59
"41","MTC","Reference","Africa_Eastern","N fertilizer",2045,0.33896097,2024-02-05 13:29:59
"42","MTC","Reference","Africa_Eastern","N fertilizer",2050,0.359276812,2024-02-05 13:29:59
"43","MTC","Reference","Africa_Eastern","N fertilizer",2055,0.382347192,2024-02-05 13:29:59
"44","MTC","Reference","Africa_Eastern","N fertilizer",2060,0.4118064556,2024-02-05 13:29:59
"45","MTC","Reference","Africa_Eastern","N fertilizer",2065,0.4492853382,2024-02-05 13:29:59
"46","MTC","Reference","Africa_Eastern","N fertilizer",2070,0.4929132092,2024-02-05 13:29:59
"47","MTC","Reference","Africa_Eastern","N fertilizer",2075,0.5404102266,2024-02-05 13:29:59
"48","MTC","Reference","Africa_Eastern","N fertilizer",2080,0.5865659379,2024-02-05 13:29:59
"49","MTC","Reference","Africa_Eastern","N fertilizer",2085,0.62988294,2024-02-05 13:29:59
"50","MTC","Reference","Africa_Eastern","N fertilizer",2090,0.66967553,2024-02-05 13:29:59
"51","MTC","Reference","Africa_Eastern","N fertilizer",2095,0.70499218,2024-02-05 13:29:59
"52","MTC","Reference","Africa_Eastern","N fertilizer",2100,0.73593553,2024-02-05 13:29:59
"53","MTC","Reference","Africa_Eastern","agricultural energy use",1975,0.0702167,2024-02-05 13:29:59
"54","MTC","Reference","Africa_Eastern","agricultural energy use",1990,0.1236631,2024-02-05 13:29:59
"55","MTC","Reference","Africa_Eastern","agricultural energy use",2005,0.7985503,2024-02-05 13:29:59
"56","MTC","Reference","Africa_Eastern","agricultural energy use",2010,0.8162247,2024-02-05 13:29:59
"57","MTC","Reference","Africa_Eastern","agricultural energy use",2015,0.9817631,2024-02-05 13:29:59
"58","MTC","Reference","Africa_Eastern","agricultural energy use",2020,1.1049796,2024-02-05 13:29:59
"59","MTC","Reference","Africa_Eastern","agricultural energy use",2025,1.2305073,2024-02-05 13:29:59
"60","MTC","Reference","Africa_Eastern","agricultural energy use",2030,1.34018168,2024-02-05 13:29:59
"61","MTC","Reference","Africa_Eastern","agricultural energy use",2035,1.445007,2024-02-05 13:29:59
"62","MTC","Reference","Africa_Eastern","agricultural energy use",2040,1.54334783,2024-02-05 13:29:59
"63","MTC","Reference","Africa_Eastern","agricultural energy use",2045,1.63061793,2024-02-05 13:29:59
"64","MTC","Reference","Africa_Eastern","agricultural energy use",2050,1.71888907,2024-02-05 13:29:59
"65","MTC","Reference","Africa_Eastern","agricultural energy use",2055,1.8291274,2024-02-05 13:29:59
"66","MTC","Reference","Africa_Eastern","agricultural energy use",2060,1.97344704,2024-02-05 13:29:59
"67","MTC","Reference","Africa_Eastern","agricultural energy use",2065,2.09936467,2024-02-05 13:29:59
"68","MTC","Reference","Africa_Eastern","agricultural energy use",2070,2.19586106,2024-02-05 13:29:59
"69","MTC","Reference","Africa_Eastern","agricultural energy use",2075,2.26354764,2024-02-05 13:29:59
"70","MTC","Reference","Africa_Eastern","agricultural energy use",2080,2.31229573,2024-02-05 13:29:59
"71","MTC","Reference","Africa_Eastern","agricultural energy use",2085,2.34379227,2024-02-05 13:29:59
"72","MTC","Reference","Africa_Eastern","agricultural energy use",2090,2.36590278,2024-02-05 13:29:59
"73","MTC","Reference","Africa_Eastern","agricultural energy use",2095,2.37904501,2024-02-05 13:29:59
"74","MTC","Reference","Africa_Eastern","agricultural energy use",2100,2.38554266,2024-02-05 13:29:59
"75","MTC","Reference","Africa_Eastern","backup_electricity",2020,0.0213311,2024-02-05 13:29:59
"76","MTC","Reference","Africa_Eastern","backup_electricity",2025,0.133992,2024-02-05 13:29:59
"77","MTC","Reference","Africa_Eastern","backup_electricity",2030,0.519616,2024-02-05 13:29:59
"78","MTC","Reference","Africa_Eastern","backup_electricity",2035,1.29325,2024-02-05 13:29:59
"79","MTC","Reference","Africa_Eastern","backup_electricity",2040,2.52207,2024-02-05 13:29:59
"80","MTC","Reference","Africa_Eastern","backup_electricity",2045,4.27036,2024-02-05 13:29:59
"81","MTC","Reference","Africa_Eastern","backup_electricity",2050,6.34786,2024-02-05 13:29:59
"82","MTC","Reference","Africa_Eastern","backup_electricity",2055,8.68456,2024-02-05 13:29:59
"83","MTC","Reference","Africa_Eastern","backup_electricity",2060,11.1924,2024-02-05 13:29:59
"84","MTC","Reference","Africa_Eastern","backup_electricity",2065,13.8763,2024-02-05 13:29:59
"85","MTC","Reference","Africa_Eastern","backup_electricity",2070,16.0311,2024-02-05 13:29:59
"86","MTC","Reference","Africa_Eastern","backup_electricity",2075,17.9167,2024-02-05 13:29:59
"87","MTC","Reference","Africa_Eastern","backup_electricity",2080,19.467,2024-02-05 13:29:59
"88","MTC","Reference","Africa_Eastern","backup_electricity",2085,20.4496,2024-02-05 13:29:59
"89","MTC","Reference","Africa_Eastern","backup_electricity",2090,21.1028,2024-02-05 13:29:59
"90","MTC","Reference","Africa_Eastern","backup_electricity",2095,21.5323,2024-02-05 13:29:59
"91","MTC","Reference","Africa_Eastern","backup_electricity",2100,21.9178,2024-02-05 13:29:59
"92","MTC","Reference","Africa_Eastern","cement",1975,0.192,2024-02-05 13:29:59
"93","MTC","Reference","Africa_Eastern","cement",1990,0.299,2024-02-05 13:29:59
"94","MTC","Reference","Africa_Eastern","cement",2005,0.725,2024-02-05 13:29:59
"95","MTC","Reference","Africa_Eastern","cement",2010,1.093,2024-02-05 13:29:59
"96","MTC","Reference","Africa_Eastern","cement",2015,1.093,2024-02-05 13:29:59
"97","MTC","Reference","Africa_Eastern","cement",2020,1.323945,2024-02-05 13:29:59
"98","MTC","Reference","Africa_Eastern","cement",2025,1.739814,2024-02-05 13:29:59
"99","MTC","Reference","Africa_Eastern","cement",2030,2.404035,2024-02-05 13:29:59
"100","MTC","Reference","Africa_Eastern","cement",2035,3.285442,2024-02-05 13:29:59
"101","MTC","Reference","Africa_Eastern","cement",2040,4.470225,2024-02-05 13:29:59
"102","MTC","Reference","Africa_Eastern","cement",2045,6.0586174,2024-02-05 13:29:59
"103","MTC","Reference","Africa_Eastern","cement",2050,8.1743117,2024-02-05 13:29:59
"104","MTC","Reference","Africa_Eastern","cement",2055,11.01685248,2024-02-05 13:29:59
"105","MTC","Reference","Africa_Eastern","cement",2060,14.15774715,2024-02-05 13:29:59
"106","MTC","Reference","Africa_Eastern","cement",2065,17.01578733,2024-02-05 13:29:59
"107","MTC","Reference","Africa_Eastern","cement",2070,19.6719817,2024-02-05 13:29:59
"108","MTC","Reference","Africa_Eastern","cement",2075,22.1308379,2024-02-05 13:29:59
"109","MTC","Reference","Africa_Eastern","cement",2080,24.3142566,2024-02-05 13:29:59
"110","MTC","Reference","Africa_Eastern","cement",2085,26.3110141,2024-02-05 13:29:59
"111","MTC","Reference","Africa_Eastern","cement",2090,28.0911532,2024-02-05 13:29:59
"112","MTC","Reference","Africa_Eastern","cement",2095,29.6309046,2024-02-05 13:29:59
"113","MTC","Reference","Africa_Eastern","cement",2100,30.9528814,2024-02-05 13:29:59
"114","MTC","Reference","Africa_Eastern","comm heating",1990,0.0113065,2024-02-05 13:29:59
"115","MTC","Reference","Africa_Eastern","comm heating",2005,0.024432354,2024-02-05 13:29:59
"116","MTC","Reference","Africa_Eastern","comm heating",2010,0.026970351,2024-02-05 13:29:59
"117","MTC","Reference","Africa_Eastern","comm heating",2015,0.02985365,2024-02-05 13:29:59
"118","MTC","Reference","Africa_Eastern","comm heating",2020,0.038626601,2024-02-05 13:29:59
"119","MTC","Reference","Africa_Eastern","comm heating",2025,0.043042056,2024-02-05 13:29:59
"120","MTC","Reference","Africa_Eastern","comm heating",2030,0.051369222,2024-02-05 13:29:59
"121","MTC","Reference","Africa_Eastern","comm heating",2035,0.065456913,2024-02-05 13:29:59
"122","MTC","Reference","Africa_Eastern","comm heating",2040,0.085636512,2024-02-05 13:29:59
"123","MTC","Reference","Africa_Eastern","comm heating",2045,0.112022617,2024-02-05 13:29:59
"124","MTC","Reference","Africa_Eastern","comm heating",2050,0.148875986,2024-02-05 13:29:59
"125","MTC","Reference","Africa_Eastern","comm heating",2055,0.199099644,2024-02-05 13:29:59
"126","MTC","Reference","Africa_Eastern","comm heating",2060,0.263472715,2024-02-05 13:29:59
"127","MTC","Reference","Africa_Eastern","comm heating",2065,0.345408018,2024-02-05 13:29:59
"128","MTC","Reference","Africa_Eastern","comm heating",2070,0.444591991,2024-02-05 13:29:59
"129","MTC","Reference","Africa_Eastern","comm heating",2075,0.558644003,2024-02-05 13:29:59
"130","MTC","Reference","Africa_Eastern","comm heating",2080,0.688933827,2024-02-05 13:29:59
"131","MTC","Reference","Africa_Eastern","comm heating",2085,0.830766947,2024-02-05 13:29:59
"132","MTC","Reference","Africa_Eastern","comm heating",2090,0.972472895,2024-02-05 13:29:59
"133","MTC","Reference","Africa_Eastern","comm heating",2095,1.106456355,2024-02-05 13:29:59
"134","MTC","Reference","Africa_Eastern","comm heating",2100,1.244024896,2024-02-05 13:29:59
"135","MTC","Reference","Africa_Eastern","comm others",1990,0.806815,2024-02-05 13:29:59
"136","MTC","Reference","Africa_Eastern","comm others",2005,2.149498769,2024-02-05 13:29:59
"137","MTC","Reference","Africa_Eastern","comm others",2010,2.633042991,2024-02-05 13:29:59
"138","MTC","Reference","Africa_Eastern","comm others",2015,2.861201189,2024-02-05 13:29:59
"139","MTC","Reference","Africa_Eastern","comm others",2020,2.451223443,2024-02-05 13:29:59
"140","MTC","Reference","Africa_Eastern","comm others",2025,3.275523203,2024-02-05 13:29:59
"141","MTC","Reference","Africa_Eastern","comm others",2030,4.006688359,2024-02-05 13:29:59
"142","MTC","Reference","Africa_Eastern","comm others",2035,4.697459991,2024-02-05 13:29:59
"143","MTC","Reference","Africa_Eastern","comm others",2040,5.052395536,2024-02-05 13:29:59
"144","MTC","Reference","Africa_Eastern","comm others",2045,5.284157824,2024-02-05 13:29:59
"145","MTC","Reference","Africa_Eastern","comm others",2050,5.51541102,2024-02-05 13:29:59
"146","MTC","Reference","Africa_Eastern","comm others",2055,5.67622535,2024-02-05 13:29:59
"147","MTC","Reference","Africa_Eastern","comm others",2060,5.87635381,2024-02-05 13:29:59
"148","MTC","Reference","Africa_Eastern","comm others",2065,6.06158684,2024-02-05 13:29:59
"149","MTC","Reference","Africa_Eastern","comm others",2070,6.24849357,2024-02-05 13:29:59
"150","MTC","Reference","Africa_Eastern","comm others",2075,6.35878387,2024-02-05 13:29:59
"151","MTC","Reference","Africa_Eastern","comm others",2080,6.38446175,2024-02-05 13:29:59
"152","MTC","Reference","Africa_Eastern","comm others",2085,6.29945531,2024-02-05 13:29:59
"153","MTC","Reference","Africa_Eastern","comm others",2090,6.1020866,2024-02-05 13:29:59
"154","MTC","Reference","Africa_Eastern","comm others",2095,5.8009925,2024-02-05 13:29:59
"155","MTC","Reference","Africa_Eastern","comm others",2100,5.4900047,2024-02-05 13:29:59
"156","MTC","Reference","Africa_Eastern","construction energy use",2005,0.02379349,2024-02-05 13:29:59
"157","MTC","Reference","Africa_Eastern","construction energy use",2010,0.0795844,2024-02-05 13:29:59
"158","MTC","Reference","Africa_Eastern","construction energy use",2015,0.03774037,2024-02-05 13:29:59
"159","MTC","Reference","Africa_Eastern","construction energy use",2020,0.04311722,2024-02-05 13:29:59
"160","MTC","Reference","Africa_Eastern","construction energy use",2025,0.04672891,2024-02-05 13:29:59
"161","MTC","Reference","Africa_Eastern","construction energy use",2030,0.04922034,2024-02-05 13:29:59
"162","MTC","Reference","Africa_Eastern","construction energy use",2035,0.051117165,2024-02-05 13:29:59
"163","MTC","Reference","Africa_Eastern","construction energy use",2040,0.052917427,2024-02-05 13:29:59
"164","MTC","Reference","Africa_Eastern","construction energy use",2045,0.05346865,2024-02-05 13:29:59
"165","MTC","Reference","Africa_Eastern","construction energy use",2050,0.0534687,2024-02-05 13:29:59
"166","MTC","Reference","Africa_Eastern","construction energy use",2055,0.05552501,2024-02-05 13:29:59
"167","MTC","Reference","Africa_Eastern","construction energy use",2060,0.05959968,2024-02-05 13:29:59
"168","MTC","Reference","Africa_Eastern","construction energy use",2065,0.06460067,2024-02-05 13:29:59
"169","MTC","Reference","Africa_Eastern","construction energy use",2070,0.06966107,2024-02-05 13:29:59
"170","MTC","Reference","Africa_Eastern","construction energy use",2075,0.07417457,2024-02-05 13:29:59
"171","MTC","Reference","Africa_Eastern","construction energy use",2080,0.07837684,2024-02-05 13:29:59
"172","MTC","Reference","Africa_Eastern","construction energy use",2085,0.08247683,2024-02-05 13:29:59
"173","MTC","Reference","Africa_Eastern","construction energy use",2090,0.08637502,2024-02-05 13:29:59
"174","MTC","Reference","Africa_Eastern","construction energy use",2095,0.09002504,2024-02-05 13:29:59
"175","MTC","Reference","Africa_Eastern","construction energy use",2100,0.09358717,2024-02-05 13:29:59
"176","MTC","Reference","Africa_Eastern","desalinated water",1990,0.000533494,2024-02-05 13:29:59
"177","MTC","Reference","Africa_Eastern","desalinated water",2005,0.0005082416,2024-02-05 13:29:59
"178","MTC","Reference","Africa_Eastern","desalinated water",2010,0.0005119758,2024-02-05 13:29:59
"179","MTC","Reference","Africa_Eastern","desalinated water",2015,0.0005211482,2024-02-05 13:29:59
"180","MTC","Reference","Africa_Eastern","desalinated water",2020,0.0005235089,2024-02-05 13:29:59
"181","MTC","Reference","Africa_Eastern","desalinated water",2025,0.0005479378,2024-02-05 13:29:59
"182","MTC","Reference","Africa_Eastern","desalinated water",2030,0.0006335227,2024-02-05 13:29:59
"183","MTC","Reference","Africa_Eastern","desalinated water",2035,0.0007931509,2024-02-05 13:29:59
"184","MTC","Reference","Africa_Eastern","desalinated water",2040,0.0010046414,2024-02-05 13:29:59
"185","MTC","Reference","Africa_Eastern","desalinated water",2045,0.0012405053,2024-02-05 13:29:59
"186","MTC","Reference","Africa_Eastern","desalinated water",2050,0.0015362566,2024-02-05 13:29:59
"187","MTC","Reference","Africa_Eastern","desalinated water",2055,0.0019084795,2024-02-05 13:29:59
"188","MTC","Reference","Africa_Eastern","desalinated water",2060,0.002226988,2024-02-05 13:29:59
"189","MTC","Reference","Africa_Eastern","desalinated water",2065,0.002538961,2024-02-05 13:29:59
"190","MTC","Reference","Africa_Eastern","desalinated water",2070,0.00286643,2024-02-05 13:29:59
"191","MTC","Reference","Africa_Eastern","desalinated water",2075,0.003195114,2024-02-05 13:29:59
"192","MTC","Reference","Africa_Eastern","desalinated water",2080,0.003545396,2024-02-05 13:29:59
"193","MTC","Reference","Africa_Eastern","desalinated water",2085,0.003901096,2024-02-05 13:29:59
"194","MTC","Reference","Africa_Eastern","desalinated water",2090,0.004234357,2024-02-05 13:29:59
"195","MTC","Reference","Africa_Eastern","desalinated water",2095,0.004510114,2024-02-05 13:29:59
"196","MTC","Reference","Africa_Eastern","desalinated water",2100,0.004757922,2024-02-05 13:29:59
"197","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2025,0.0996515,2024-02-05 13:29:59
"198","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2030,0.35265695,2024-02-05 13:29:59
"199","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2035,0.78060847,2024-02-05 13:29:59
"200","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2040,1.50841764,2024-02-05 13:29:59
"201","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2045,2.62112508,2024-02-05 13:29:59
"202","MTC","Reference","Africa_Eastern","elec_biomass (IGCC)",2050,4.12979765,2024-02-05 13:29:59
