"","Units","scenario","region","subresource","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","groundwater grade hist",1975,0,2024-02-05 13:29:59
"2","km^3","Reference","Africa_Eastern","groundwater grade hist",1990,0,2024-02-05 13:29:59
"3","km^3","Reference","Africa_Eastern","groundwater grade hist",2005,0,2024-02-05 13:29:59
"4","km^3","Reference","Africa_Eastern","groundwater grade hist",2010,1.93182e-05,2024-02-05 13:29:59
"5","km^3","Reference","Africa_Eastern","groundwater grade hist",2015,0.08793662172,2024-02-05 13:29:59
"6","km^3","Reference","Africa_Eastern","groundwater grade hist",2020,0.092579646,2024-02-05 13:29:59
"7","km^3","Reference","Africa_Eastern","groundwater grade hist",2025,0.003796423,2024-02-05 13:29:59
"8","km^3","Reference","Africa_Eastern","groundwater grade hist",2030,0,2024-02-05 13:29:59
"9","km^3","Reference","Africa_Eastern","groundwater grade hist",2035,0,2024-02-05 13:29:59
"10","km^3","Reference","Africa_Eastern","groundwater grade hist",2040,0,2024-02-05 13:29:59
"11","km^3","Reference","Africa_Eastern","groundwater grade hist",2045,0,2024-02-05 13:29:59
"12","km^3","Reference","Africa_Eastern","groundwater grade hist",2050,0,2024-02-05 13:29:59
"13","km^3","Reference","Africa_Eastern","groundwater grade hist",2055,0,2024-02-05 13:29:59
"14","km^3","Reference","Africa_Eastern","groundwater grade hist",2060,0,2024-02-05 13:29:59
"15","km^3","Reference","Africa_Eastern","groundwater grade hist",2065,0,2024-02-05 13:29:59
"16","km^3","Reference","Africa_Eastern","groundwater grade hist",2070,0,2024-02-05 13:29:59
"17","km^3","Reference","Africa_Eastern","groundwater grade hist",2075,0,2024-02-05 13:29:59
"18","km^3","Reference","Africa_Eastern","groundwater grade hist",2080,0,2024-02-05 13:29:59
"19","km^3","Reference","Africa_Eastern","groundwater grade hist",2085,0,2024-02-05 13:29:59
"20","km^3","Reference","Africa_Eastern","groundwater grade hist",2090,0,2024-02-05 13:29:59
"21","km^3","Reference","Africa_Eastern","groundwater grade hist",2095,0,2024-02-05 13:29:59
"22","km^3","Reference","Africa_Eastern","groundwater grade hist",2100,0,2024-02-05 13:29:59
"23","km^3","Reference","Africa_Eastern","groundwater grade1",1975,0,2024-02-05 13:29:59
"24","km^3","Reference","Africa_Eastern","groundwater grade1",1990,0,2024-02-05 13:29:59
"25","km^3","Reference","Africa_Eastern","groundwater grade1",2005,0,2024-02-05 13:29:59
"26","km^3","Reference","Africa_Eastern","groundwater grade1",2010,0,2024-02-05 13:29:59
"27","km^3","Reference","Africa_Eastern","groundwater grade1",2015,0,2024-02-05 13:29:59
"28","km^3","Reference","Africa_Eastern","groundwater grade1",2020,0,2024-02-05 13:29:59
"29","km^3","Reference","Africa_Eastern","groundwater grade1",2025,3.58096,2024-02-05 13:29:59
"30","km^3","Reference","Africa_Eastern","groundwater grade1",2030,13.6771,2024-02-05 13:29:59
"31","km^3","Reference","Africa_Eastern","groundwater grade1",2035,20.3171,2024-02-05 13:29:59
"32","km^3","Reference","Africa_Eastern","groundwater grade1",2040,23.798,2024-02-05 13:29:59
"33","km^3","Reference","Africa_Eastern","groundwater grade1",2045,14.8255,2024-02-05 13:29:59
"34","km^3","Reference","Africa_Eastern","groundwater grade1",2050,18.1448,2024-02-05 13:29:59
"35","km^3","Reference","Africa_Eastern","groundwater grade1",2055,15.1217,2024-02-05 13:29:59
"36","km^3","Reference","Africa_Eastern","groundwater grade1",2060,0.575974,2024-02-05 13:29:59
"37","km^3","Reference","Africa_Eastern","groundwater grade1",2065,1.07284,2024-02-05 13:29:59
"38","km^3","Reference","Africa_Eastern","groundwater grade1",2070,1.49006,2024-02-05 13:29:59
"39","km^3","Reference","Africa_Eastern","groundwater grade1",2075,2.133998,2024-02-05 13:29:59
"40","km^3","Reference","Africa_Eastern","groundwater grade1",2080,2.900269,2024-02-05 13:29:59
"41","km^3","Reference","Africa_Eastern","groundwater grade1",2085,3.442438,2024-02-05 13:29:59
"42","km^3","Reference","Africa_Eastern","groundwater grade1",2090,3.838566,2024-02-05 13:29:59
"43","km^3","Reference","Africa_Eastern","groundwater grade1",2095,4.12561,2024-02-05 13:29:59
"44","km^3","Reference","Africa_Eastern","groundwater grade1",2100,4.31844,2024-02-05 13:29:59
"45","km^3","Reference","Africa_Eastern","groundwater grade10",1975,0,2024-02-05 13:29:59
"46","km^3","Reference","Africa_Eastern","groundwater grade10",1990,0,2024-02-05 13:29:59
"47","km^3","Reference","Africa_Eastern","groundwater grade10",2005,0,2024-02-05 13:29:59
"48","km^3","Reference","Africa_Eastern","groundwater grade10",2010,0,2024-02-05 13:29:59
"49","km^3","Reference","Africa_Eastern","groundwater grade10",2015,0,2024-02-05 13:29:59
"50","km^3","Reference","Africa_Eastern","groundwater grade10",2020,0,2024-02-05 13:29:59
"51","km^3","Reference","Africa_Eastern","groundwater grade10",2025,0,2024-02-05 13:29:59
"52","km^3","Reference","Africa_Eastern","groundwater grade10",2030,0,2024-02-05 13:29:59
"53","km^3","Reference","Africa_Eastern","groundwater grade10",2035,0,2024-02-05 13:29:59
"54","km^3","Reference","Africa_Eastern","groundwater grade10",2040,0,2024-02-05 13:29:59
"55","km^3","Reference","Africa_Eastern","groundwater grade10",2045,0,2024-02-05 13:29:59
"56","km^3","Reference","Africa_Eastern","groundwater grade10",2050,0,2024-02-05 13:29:59
"57","km^3","Reference","Africa_Eastern","groundwater grade10",2055,0,2024-02-05 13:29:59
"58","km^3","Reference","Africa_Eastern","groundwater grade10",2060,0,2024-02-05 13:29:59
"59","km^3","Reference","Africa_Eastern","groundwater grade10",2065,0,2024-02-05 13:29:59
"60","km^3","Reference","Africa_Eastern","groundwater grade10",2070,0,2024-02-05 13:29:59
"61","km^3","Reference","Africa_Eastern","groundwater grade10",2075,0,2024-02-05 13:29:59
"62","km^3","Reference","Africa_Eastern","groundwater grade10",2080,0,2024-02-05 13:29:59
"63","km^3","Reference","Africa_Eastern","groundwater grade10",2085,0,2024-02-05 13:29:59
"64","km^3","Reference","Africa_Eastern","groundwater grade10",2090,3.06218,2024-02-05 13:29:59
"65","km^3","Reference","Africa_Eastern","groundwater grade10",2095,15.6623,2024-02-05 13:29:59
"66","km^3","Reference","Africa_Eastern","groundwater grade10",2100,1.48061,2024-02-05 13:29:59
"67","km^3","Reference","Africa_Eastern","groundwater grade11",1975,0,2024-02-05 13:29:59
"68","km^3","Reference","Africa_Eastern","groundwater grade11",1990,0,2024-02-05 13:29:59
"69","km^3","Reference","Africa_Eastern","groundwater grade11",2005,0,2024-02-05 13:29:59
"70","km^3","Reference","Africa_Eastern","groundwater grade11",2010,0,2024-02-05 13:29:59
"71","km^3","Reference","Africa_Eastern","groundwater grade11",2015,0,2024-02-05 13:29:59
"72","km^3","Reference","Africa_Eastern","groundwater grade11",2020,0,2024-02-05 13:29:59
"73","km^3","Reference","Africa_Eastern","groundwater grade11",2025,0,2024-02-05 13:29:59
"74","km^3","Reference","Africa_Eastern","groundwater grade11",2030,0,2024-02-05 13:29:59
"75","km^3","Reference","Africa_Eastern","groundwater grade11",2035,0,2024-02-05 13:29:59
"76","km^3","Reference","Africa_Eastern","groundwater grade11",2040,0,2024-02-05 13:29:59
"77","km^3","Reference","Africa_Eastern","groundwater grade11",2045,0,2024-02-05 13:29:59
"78","km^3","Reference","Africa_Eastern","groundwater grade11",2050,0,2024-02-05 13:29:59
"79","km^3","Reference","Africa_Eastern","groundwater grade11",2055,0,2024-02-05 13:29:59
"80","km^3","Reference","Africa_Eastern","groundwater grade11",2060,0,2024-02-05 13:29:59
"81","km^3","Reference","Africa_Eastern","groundwater grade11",2065,0,2024-02-05 13:29:59
"82","km^3","Reference","Africa_Eastern","groundwater grade11",2070,0,2024-02-05 13:29:59
"83","km^3","Reference","Africa_Eastern","groundwater grade11",2075,0,2024-02-05 13:29:59
"84","km^3","Reference","Africa_Eastern","groundwater grade11",2080,0,2024-02-05 13:29:59
"85","km^3","Reference","Africa_Eastern","groundwater grade11",2085,0,2024-02-05 13:29:59
"86","km^3","Reference","Africa_Eastern","groundwater grade11",2090,0,2024-02-05 13:29:59
"87","km^3","Reference","Africa_Eastern","groundwater grade11",2095,10.1037,2024-02-05 13:29:59
"88","km^3","Reference","Africa_Eastern","groundwater grade11",2100,10.4355,2024-02-05 13:29:59
"89","km^3","Reference","Africa_Eastern","groundwater grade12",1975,0,2024-02-05 13:29:59
"90","km^3","Reference","Africa_Eastern","groundwater grade12",1990,0,2024-02-05 13:29:59
"91","km^3","Reference","Africa_Eastern","groundwater grade12",2005,0,2024-02-05 13:29:59
"92","km^3","Reference","Africa_Eastern","groundwater grade12",2010,0,2024-02-05 13:29:59
"93","km^3","Reference","Africa_Eastern","groundwater grade12",2015,0,2024-02-05 13:29:59
"94","km^3","Reference","Africa_Eastern","groundwater grade12",2020,0,2024-02-05 13:29:59
"95","km^3","Reference","Africa_Eastern","groundwater grade12",2025,0,2024-02-05 13:29:59
"96","km^3","Reference","Africa_Eastern","groundwater grade12",2030,0,2024-02-05 13:29:59
"97","km^3","Reference","Africa_Eastern","groundwater grade12",2035,0,2024-02-05 13:29:59
"98","km^3","Reference","Africa_Eastern","groundwater grade12",2040,0,2024-02-05 13:29:59
"99","km^3","Reference","Africa_Eastern","groundwater grade12",2045,0,2024-02-05 13:29:59
"100","km^3","Reference","Africa_Eastern","groundwater grade12",2050,0,2024-02-05 13:29:59
