"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"GDP",28893,2024-02-05 14:02:39
"2","million 1990$","Reference","Africa_Eastern",1990,"GDP",46850,2024-02-05 14:02:39
"3","million 1990$","Reference","Africa_Eastern",2005,"GDP",85953,2024-02-05 14:02:39
"4","million 1990$","Reference","Africa_Eastern",2010,"GDP",119402,2024-02-05 14:02:39
"5","million 1990$","Reference","Africa_Eastern",2015,"GDP",151679,2024-02-05 14:02:39
"6","million 1990$","Reference","Africa_Eastern",2020,"GDP",187112,2024-02-05 14:02:39
"7","million 1990$","Reference","Africa_Eastern",2025,"GDP",237905,2024-02-05 14:02:39
"8","million 1990$","Reference","Africa_Eastern",2030,"GDP",302682,2024-02-05 14:02:39
"9","million 1990$","Reference","Africa_Eastern",2035,"GDP",373945,2024-02-05 14:02:39
"10","million 1990$","Reference","Africa_Eastern",2040,"GDP",460096,2024-02-05 14:02:39
"11","million 1990$","Reference","Africa_Eastern",2045,"GDP",563838,2024-02-05 14:02:39
"12","million 1990$","Reference","Africa_Eastern",2050,"GDP",686913,2024-02-05 14:02:39
"13","million 1990$","Reference","Africa_Eastern",2055,"GDP",831696,2024-02-05 14:02:39
"14","million 1990$","Reference","Africa_Eastern",2060,"GDP",1002120,2024-02-05 14:02:39
"15","million 1990$","Reference","Africa_Eastern",2065,"GDP",1202180,2024-02-05 14:02:39
"16","million 1990$","Reference","Africa_Eastern",2070,"GDP",1435240,2024-02-05 14:02:39
"17","million 1990$","Reference","Africa_Eastern",2075,"GDP",1702710,2024-02-05 14:02:39
"18","million 1990$","Reference","Africa_Eastern",2080,"GDP",2003200,2024-02-05 14:02:39
"19","million 1990$","Reference","Africa_Eastern",2085,"GDP",2336940,2024-02-05 14:02:39
"20","million 1990$","Reference","Africa_Eastern",2090,"GDP",2705480,2024-02-05 14:02:39
"21","million 1990$","Reference","Africa_Eastern",2095,"GDP",3110660,2024-02-05 14:02:39
"22","million 1990$","Reference","Africa_Eastern",2100,"GDP",3552930,2024-02-05 14:02:39
"23","million 1990$","Reference","Africa_Northern",1975,"GDP",84938,2024-02-05 14:02:39
"24","million 1990$","Reference","Africa_Northern",1990,"GDP",190375,2024-02-05 14:02:39
"25","million 1990$","Reference","Africa_Northern",2005,"GDP",310900,2024-02-05 14:02:39
"26","million 1990$","Reference","Africa_Northern",2010,"GDP",387805,2024-02-05 14:02:39
"27","million 1990$","Reference","Africa_Northern",2015,"GDP",418411,2024-02-05 14:02:39
"28","million 1990$","Reference","Africa_Northern",2020,"GDP",515797,2024-02-05 14:02:39
"29","million 1990$","Reference","Africa_Northern",2025,"GDP",625652,2024-02-05 14:02:39
"30","million 1990$","Reference","Africa_Northern",2030,"GDP",758871,2024-02-05 14:02:39
"31","million 1990$","Reference","Africa_Northern",2035,"GDP",886374,2024-02-05 14:02:39
"32","million 1990$","Reference","Africa_Northern",2040,"GDP",1011010,2024-02-05 14:02:39
"33","million 1990$","Reference","Africa_Northern",2045,"GDP",1133560,2024-02-05 14:02:39
"34","million 1990$","Reference","Africa_Northern",2050,"GDP",1256040,2024-02-05 14:02:39
"35","million 1990$","Reference","Africa_Northern",2055,"GDP",1386490,2024-02-05 14:02:39
"36","million 1990$","Reference","Africa_Northern",2060,"GDP",1528710,2024-02-05 14:02:39
"37","million 1990$","Reference","Africa_Northern",2065,"GDP",1683980,2024-02-05 14:02:39
"38","million 1990$","Reference","Africa_Northern",2070,"GDP",1848760,2024-02-05 14:02:39
"39","million 1990$","Reference","Africa_Northern",2075,"GDP",2022890,2024-02-05 14:02:39
"40","million 1990$","Reference","Africa_Northern",2080,"GDP",2204820,2024-02-05 14:02:39
"41","million 1990$","Reference","Africa_Northern",2085,"GDP",2393730,2024-02-05 14:02:39
"42","million 1990$","Reference","Africa_Northern",2090,"GDP",2591940,2024-02-05 14:02:39
"43","million 1990$","Reference","Africa_Northern",2095,"GDP",2800420,2024-02-05 14:02:39
"44","million 1990$","Reference","Africa_Northern",2100,"GDP",3019460,2024-02-05 14:02:39
"45","million 1990$","Reference","Africa_Southern",1975,"GDP",28497,2024-02-05 14:02:39
"46","million 1990$","Reference","Africa_Southern",1990,"GDP",42717,2024-02-05 14:02:39
"47","million 1990$","Reference","Africa_Southern",2005,"GDP",79377,2024-02-05 14:02:39
"48","million 1990$","Reference","Africa_Southern",2010,"GDP",120196,2024-02-05 14:02:39
"49","million 1990$","Reference","Africa_Southern",2015,"GDP",155391,2024-02-05 14:02:39
"50","million 1990$","Reference","Africa_Southern",2020,"GDP",172716,2024-02-05 14:02:39
"51","million 1990$","Reference","Africa_Southern",2025,"GDP",210208,2024-02-05 14:02:39
"52","million 1990$","Reference","Africa_Southern",2030,"GDP",255331,2024-02-05 14:02:39
"53","million 1990$","Reference","Africa_Southern",2035,"GDP",299620,2024-02-05 14:02:39
"54","million 1990$","Reference","Africa_Southern",2040,"GDP",350522,2024-02-05 14:02:39
"55","million 1990$","Reference","Africa_Southern",2045,"GDP",412918,2024-02-05 14:02:39
"56","million 1990$","Reference","Africa_Southern",2050,"GDP",490235,2024-02-05 14:02:39
"57","million 1990$","Reference","Africa_Southern",2055,"GDP",584082,2024-02-05 14:02:39
"58","million 1990$","Reference","Africa_Southern",2060,"GDP",695985,2024-02-05 14:02:39
"59","million 1990$","Reference","Africa_Southern",2065,"GDP",827540,2024-02-05 14:02:39
"60","million 1990$","Reference","Africa_Southern",2070,"GDP",980281,2024-02-05 14:02:39
"61","million 1990$","Reference","Africa_Southern",2075,"GDP",1153980,2024-02-05 14:02:39
"62","million 1990$","Reference","Africa_Southern",2080,"GDP",1348870,2024-02-05 14:02:39
"63","million 1990$","Reference","Africa_Southern",2085,"GDP",1564820,2024-02-05 14:02:39
"64","million 1990$","Reference","Africa_Southern",2090,"GDP",1801940,2024-02-05 14:02:39
"65","million 1990$","Reference","Africa_Southern",2095,"GDP",2061380,2024-02-05 14:02:39
"66","million 1990$","Reference","Africa_Southern",2100,"GDP",2343470,2024-02-05 14:02:39
"67","million 1990$","Reference","Africa_Western",1975,"GDP",136747,2024-02-05 14:02:39
"68","million 1990$","Reference","Africa_Western",1990,"GDP",167596,2024-02-05 14:02:39
"69","million 1990$","Reference","Africa_Western",2005,"GDP",292856,2024-02-05 14:02:39
"70","million 1990$","Reference","Africa_Western",2010,"GDP",393371,2024-02-05 14:02:39
"71","million 1990$","Reference","Africa_Western",2015,"GDP",499850,2024-02-05 14:02:39
"72","million 1990$","Reference","Africa_Western",2020,"GDP",565228,2024-02-05 14:02:39
"73","million 1990$","Reference","Africa_Western",2025,"GDP",688016,2024-02-05 14:02:39
"74","million 1990$","Reference","Africa_Western",2030,"GDP",893180,2024-02-05 14:02:39
"75","million 1990$","Reference","Africa_Western",2035,"GDP",1120060,2024-02-05 14:02:39
"76","million 1990$","Reference","Africa_Western",2040,"GDP",1382780,2024-02-05 14:02:39
"77","million 1990$","Reference","Africa_Western",2045,"GDP",1687770,2024-02-05 14:02:39
"78","million 1990$","Reference","Africa_Western",2050,"GDP",2043910,2024-02-05 14:02:39
"79","million 1990$","Reference","Africa_Western",2055,"GDP",2463760,2024-02-05 14:02:39
"80","million 1990$","Reference","Africa_Western",2060,"GDP",2957020,2024-02-05 14:02:39
"81","million 1990$","Reference","Africa_Western",2065,"GDP",3532580,2024-02-05 14:02:39
"82","million 1990$","Reference","Africa_Western",2070,"GDP",4197250,2024-02-05 14:02:39
"83","million 1990$","Reference","Africa_Western",2075,"GDP",4960380,2024-02-05 14:02:39
"84","million 1990$","Reference","Africa_Western",2080,"GDP",5818550,2024-02-05 14:02:39
"85","million 1990$","Reference","Africa_Western",2085,"GDP",6770720,2024-02-05 14:02:39
"86","million 1990$","Reference","Africa_Western",2090,"GDP",7811110,2024-02-05 14:02:39
"87","million 1990$","Reference","Africa_Western",2095,"GDP",8937240,2024-02-05 14:02:39
"88","million 1990$","Reference","Africa_Western",2100,"GDP",10148900,2024-02-05 14:02:39
"89","million 1990$","Reference","Argentina",1975,"GDP",136953,2024-02-05 14:02:39
