"","Units","scenario","region","year","account","value","rundate"
"1","million 1990$","Reference","Africa_Eastern",1975,"gdp-per-capita",0.31443,2024-02-05 15:57:01
"2","million 1990$","Reference","Africa_Eastern",1990,"gdp-per-capita",0.321787,2024-02-05 15:57:01
"3","million 1990$","Reference","Africa_Eastern",2005,"gdp-per-capita",0.385735,2024-02-05 15:57:01
"4","million 1990$","Reference","Africa_Eastern",2010,"gdp-per-capita",0.467632,2024-02-05 15:57:01
"5","million 1990$","Reference","Africa_Eastern",2015,"gdp-per-capita",0.518454,2024-02-05 15:57:01
"6","million 1990$","Reference","Africa_Eastern",2020,"gdp-per-capita",0.563141,2024-02-05 15:57:01
"7","million 1990$","Reference","Africa_Eastern",2025,"gdp-per-capita",0.632753,2024-02-05 15:57:01
"8","million 1990$","Reference","Africa_Eastern",2030,"gdp-per-capita",0.703849,2024-02-05 15:57:01
"9","million 1990$","Reference","Africa_Eastern",2035,"gdp-per-capita",0.75831,2024-02-05 15:57:01
"10","million 1990$","Reference","Africa_Eastern",2040,"gdp-per-capita",0.815866,2024-02-05 15:57:01
"11","million 1990$","Reference","Africa_Eastern",2045,"gdp-per-capita",0.877574,2024-02-05 15:57:01
"12","million 1990$","Reference","Africa_Eastern",2050,"gdp-per-capita",0.942698,2024-02-05 15:57:01
"13","million 1990$","Reference","Africa_Eastern",2055,"gdp-per-capita",1.01454,2024-02-05 15:57:01
"14","million 1990$","Reference","Africa_Eastern",2060,"gdp-per-capita",1.09491,2024-02-05 15:57:01
"15","million 1990$","Reference","Africa_Eastern",2065,"gdp-per-capita",1.18506,2024-02-05 15:57:01
"16","million 1990$","Reference","Africa_Eastern",2070,"gdp-per-capita",1.2845,2024-02-05 15:57:01
"17","million 1990$","Reference","Africa_Eastern",2075,"gdp-per-capita",1.3917,2024-02-05 15:57:01
"18","million 1990$","Reference","Africa_Eastern",2080,"gdp-per-capita",1.5048,2024-02-05 15:57:01
"19","million 1990$","Reference","Africa_Eastern",2085,"gdp-per-capita",1.62474,2024-02-05 15:57:01
"20","million 1990$","Reference","Africa_Eastern",2090,"gdp-per-capita",1.75278,2024-02-05 15:57:01
"21","million 1990$","Reference","Africa_Eastern",2095,"gdp-per-capita",1.88995,2024-02-05 15:57:01
"22","million 1990$","Reference","Africa_Eastern",2100,"gdp-per-capita",2.03761,2024-02-05 15:57:01
"23","million 1990$","Reference","Africa_Northern",1975,"gdp-per-capita",1.04436,2024-02-05 15:57:01
"24","million 1990$","Reference","Africa_Northern",1990,"gdp-per-capita",1.5918,2024-02-05 15:57:01
"25","million 1990$","Reference","Africa_Northern",2005,"gdp-per-capita",1.99972,2024-02-05 15:57:01
"26","million 1990$","Reference","Africa_Northern",2010,"gdp-per-capita",2.30295,2024-02-05 15:57:01
"27","million 1990$","Reference","Africa_Northern",2015,"gdp-per-capita",2.26218,2024-02-05 15:57:01
"28","million 1990$","Reference","Africa_Northern",2020,"gdp-per-capita",2.63902,2024-02-05 15:57:01
"29","million 1990$","Reference","Africa_Northern",2025,"gdp-per-capita",3.06668,2024-02-05 15:57:01
"30","million 1990$","Reference","Africa_Northern",2030,"gdp-per-capita",3.68399,2024-02-05 15:57:01
"31","million 1990$","Reference","Africa_Northern",2035,"gdp-per-capita",4.33606,2024-02-05 15:57:01
"32","million 1990$","Reference","Africa_Northern",2040,"gdp-per-capita",5.00918,2024-02-05 15:57:01
"33","million 1990$","Reference","Africa_Northern",2045,"gdp-per-capita",5.70434,2024-02-05 15:57:01
"34","million 1990$","Reference","Africa_Northern",2050,"gdp-per-capita",6.43484,2024-02-05 15:57:01
"35","million 1990$","Reference","Africa_Northern",2055,"gdp-per-capita",7.24146,2024-02-05 15:57:01
"36","million 1990$","Reference","Africa_Northern",2060,"gdp-per-capita",8.14854,2024-02-05 15:57:01
"37","million 1990$","Reference","Africa_Northern",2065,"gdp-per-capita",9.14157,2024-02-05 15:57:01
"38","million 1990$","Reference","Africa_Northern",2070,"gdp-per-capita",10.1821,2024-02-05 15:57:01
"39","million 1990$","Reference","Africa_Northern",2075,"gdp-per-capita",11.2615,2024-02-05 15:57:01
"40","million 1990$","Reference","Africa_Northern",2080,"gdp-per-capita",12.3945,2024-02-05 15:57:01
"41","million 1990$","Reference","Africa_Northern",2085,"gdp-per-capita",13.5877,2024-02-05 15:57:01
"42","million 1990$","Reference","Africa_Northern",2090,"gdp-per-capita",14.8602,2024-02-05 15:57:01
"43","million 1990$","Reference","Africa_Northern",2095,"gdp-per-capita",16.2195,2024-02-05 15:57:01
"44","million 1990$","Reference","Africa_Northern",2100,"gdp-per-capita",17.6433,2024-02-05 15:57:01
"45","million 1990$","Reference","Africa_Southern",1975,"gdp-per-capita",0.537213,2024-02-05 15:57:01
"46","million 1990$","Reference","Africa_Southern",1990,"gdp-per-capita",0.513679,2024-02-05 15:57:01
"47","million 1990$","Reference","Africa_Southern",2005,"gdp-per-capita",0.65223,2024-02-05 15:57:01
"48","million 1990$","Reference","Africa_Southern",2010,"gdp-per-capita",0.863204,2024-02-05 15:57:01
"49","million 1990$","Reference","Africa_Southern",2015,"gdp-per-capita",0.968488,2024-02-05 15:57:01
"50","million 1990$","Reference","Africa_Southern",2020,"gdp-per-capita",0.948895,2024-02-05 15:57:01
"51","million 1990$","Reference","Africa_Southern",2025,"gdp-per-capita",1.02212,2024-02-05 15:57:01
"52","million 1990$","Reference","Africa_Southern",2030,"gdp-per-capita",1.10347,2024-02-05 15:57:01
"53","million 1990$","Reference","Africa_Southern",2035,"gdp-per-capita",1.15751,2024-02-05 15:57:01
"54","million 1990$","Reference","Africa_Southern",2040,"gdp-per-capita",1.21664,2024-02-05 15:57:01
"55","million 1990$","Reference","Africa_Southern",2045,"gdp-per-capita",1.29437,2024-02-05 15:57:01
"56","million 1990$","Reference","Africa_Southern",2050,"gdp-per-capita",1.39653,2024-02-05 15:57:01
"57","million 1990$","Reference","Africa_Southern",2055,"gdp-per-capita",1.52565,2024-02-05 15:57:01
"58","million 1990$","Reference","Africa_Southern",2060,"gdp-per-capita",1.68121,2024-02-05 15:57:01
"59","million 1990$","Reference","Africa_Southern",2065,"gdp-per-capita",1.86266,2024-02-05 15:57:01
"60","million 1990$","Reference","Africa_Southern",2070,"gdp-per-capita",2.06819,2024-02-05 15:57:01
"61","million 1990$","Reference","Africa_Southern",2075,"gdp-per-capita",2.2959,2024-02-05 15:57:01
"62","million 1990$","Reference","Africa_Southern",2080,"gdp-per-capita",2.54264,2024-02-05 15:57:01
"63","million 1990$","Reference","Africa_Southern",2085,"gdp-per-capita",2.80748,2024-02-05 15:57:01
"64","million 1990$","Reference","Africa_Southern",2090,"gdp-per-capita",3.09086,2024-02-05 15:57:01
"65","million 1990$","Reference","Africa_Southern",2095,"gdp-per-capita",3.39354,2024-02-05 15:57:01
"66","million 1990$","Reference","Africa_Southern",2100,"gdp-per-capita",3.71774,2024-02-05 15:57:01
"67","million 1990$","Reference","Africa_Western",1975,"gdp-per-capita",0.859179,2024-02-05 15:57:01
"68","million 1990$","Reference","Africa_Western",1990,"gdp-per-capita",0.699672,2024-02-05 15:57:01
"69","million 1990$","Reference","Africa_Western",2005,"gdp-per-capita",0.812442,2024-02-05 15:57:01
"70","million 1990$","Reference","Africa_Western",2010,"gdp-per-capita",0.947195,2024-02-05 15:57:01
"71","million 1990$","Reference","Africa_Western",2015,"gdp-per-capita",1.04564,2024-02-05 15:57:01
"72","million 1990$","Reference","Africa_Western",2020,"gdp-per-capita",1.0382,2024-02-05 15:57:01
"73","million 1990$","Reference","Africa_Western",2025,"gdp-per-capita",1.11231,2024-02-05 15:57:01
"74","million 1990$","Reference","Africa_Western",2030,"gdp-per-capita",1.25836,2024-02-05 15:57:01
"75","million 1990$","Reference","Africa_Western",2035,"gdp-per-capita",1.3736,2024-02-05 15:57:01
"76","million 1990$","Reference","Africa_Western",2040,"gdp-per-capita",1.4829,2024-02-05 15:57:01
"77","million 1990$","Reference","Africa_Western",2045,"gdp-per-capita",1.59142,2024-02-05 15:57:01
"78","million 1990$","Reference","Africa_Western",2050,"gdp-per-capita",1.70511,2024-02-05 15:57:01
"79","million 1990$","Reference","Africa_Western",2055,"gdp-per-capita",1.83403,2024-02-05 15:57:01
"80","million 1990$","Reference","Africa_Western",2060,"gdp-per-capita",1.98016,2024-02-05 15:57:01
"81","million 1990$","Reference","Africa_Western",2065,"gdp-per-capita",2.14164,2024-02-05 15:57:01
"82","million 1990$","Reference","Africa_Western",2070,"gdp-per-capita",2.31969,2024-02-05 15:57:01
"83","million 1990$","Reference","Africa_Western",2075,"gdp-per-capita",2.51387,2024-02-05 15:57:01
"84","million 1990$","Reference","Africa_Western",2080,"gdp-per-capita",2.72174,2024-02-05 15:57:01
"85","million 1990$","Reference","Africa_Western",2085,"gdp-per-capita",2.94118,2024-02-05 15:57:01
"86","million 1990$","Reference","Africa_Western",2090,"gdp-per-capita",3.17275,2024-02-05 15:57:01
"87","million 1990$","Reference","Africa_Western",2095,"gdp-per-capita",3.41433,2024-02-05 15:57:01
"88","million 1990$","Reference","Africa_Western",2100,"gdp-per-capita",3.66975,2024-02-05 15:57:01
"89","million 1990$","Reference","Argentina",1975,"gdp-per-capita",5.29471,2024-02-05 15:57:01
"90","million 1990$","Reference","Argentina",1990,"gdp-per-capita",3.95815,2024-02-05 15:57:01
"91","million 1990$","Reference","Argentina",2005,"gdp-per-capita",5.69681,2024-02-05 15:57:01
"92","million 1990$","Reference","Argentina",2010,"gdp-per-capita",6.87947,2024-02-05 15:57:01
