"","Units","scenario","region","fuel","year","value","rundate"
"1","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1975,4.13533,2024-02-25 19:37:56
"2","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",1990,15.2629,2024-02-25 19:37:56
"3","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2005,14.5864,2024-02-25 19:37:56
"4","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2010,19.8735,2024-02-25 19:37:56
"5","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2015,21.3854,2024-02-25 19:37:56
"6","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2020,14.9024,2024-02-25 19:37:56
"7","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2025,13.9783,2024-02-25 19:37:56
"8","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2030,14.39,2024-02-25 19:37:56
"9","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2035,14.3346,2024-02-25 19:37:56
"10","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2040,14.1595,2024-02-25 19:37:56
"11","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2045,13.9359,2024-02-25 19:37:56
"12","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2050,13.7234,2024-02-25 19:37:56
"13","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2055,13.538,2024-02-25 19:37:56
"14","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2060,13.353,2024-02-25 19:37:56
"15","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2065,13.1746,2024-02-25 19:37:56
"16","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2070,13.002,2024-02-25 19:37:56
"17","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2075,12.8206,2024-02-25 19:37:56
"18","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2080,12.6508,2024-02-25 19:37:56
"19","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2085,12.4743,2024-02-25 19:37:56
"20","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2090,12.2985,2024-02-25 19:37:56
"21","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2095,12.1157,2024-02-25 19:37:56
"22","1975$/GJ","Reference","Africa_Eastern","elect_td_bld",2100,11.9275,2024-02-25 19:37:56
"23","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",1975,1.85533,2024-02-25 19:37:56
"24","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",1990,13.0679,2024-02-25 19:37:56
"25","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2005,12.4764,2024-02-25 19:37:56
"26","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2010,17.8035,2024-02-25 19:37:56
"27","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2015,19.3554,2024-02-25 19:37:56
"28","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2020,13.0787,2024-02-25 19:37:56
"29","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2025,12.18,2024-02-25 19:37:56
"30","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2030,12.6898,2024-02-25 19:37:56
"31","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2035,12.7888,2024-02-25 19:37:56
"32","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2040,12.6899,2024-02-25 19:37:56
"33","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2045,12.4895,2024-02-25 19:37:56
"34","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2050,12.2705,2024-02-25 19:37:56
"35","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2055,12.0472,2024-02-25 19:37:56
"36","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2060,11.8251,2024-02-25 19:37:56
"37","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2065,11.6107,2024-02-25 19:37:56
"38","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2070,11.3788,2024-02-25 19:37:56
"39","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2075,11.1591,2024-02-25 19:37:56
"40","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2080,10.9688,2024-02-25 19:37:56
"41","1975$/GJ","Reference","Africa_Eastern","elect_td_ind",2085,10.7808,2024-02-25 19:37:56
