,105540,105521
scenario,PolicyReference,PolicyReference
region,Africa_Eastern,Africa_Eastern
sector,resid cooling,resid cooling
input_x,elect_td_bld,elect_td_bld
year,2100,2100
Electricity Cooling (EJ),0.594778,0.594778
ssp,0,0
Electricity (EJ)H2 central production,0.021877215,0.021877215
Electricity (EJ)H2 industrial,0.15976534,0.15976534
Electricity (EJ)H2 liquid truck,0.0851596,0.0851596
Electricity (EJ)H2 pipeline,0.0144264,0.0144264
Electricity (EJ)H2 wholesale dispensing,0.30964912,0.30964912
Electricity (EJ)agricultural energy use,0.006619705,0.006619705
Electricity (EJ)cement,0.089211938,0.089211938
Electricity (EJ)comm cooling,0.291324,0.291324
Electricity (EJ)comm others,4.64546,4.64546
Electricity (EJ)construction energy use,0.000533391,0.000533391
Electricity (EJ)desalinated water,6.05E-06,6.05E-06
Electricity (EJ)industrial wastewater treatment,0.0136561,0.0136561
Electricity (EJ)industrial water abstraction,0.00367929,0.00367929
Electricity (EJ)industrial water treatment,0.00575396,0.00575396
Electricity (EJ)iron and steel,0.136523166,0.136523166
Electricity (EJ)irrigation water abstraction,0.0103635,0.0103635
Electricity (EJ)mining energy use,0.001935835,0.001935835
Electricity (EJ)municipal wastewater treatment,0.0200274,0.0200274
Electricity (EJ)municipal water abstraction,0.00700331,0.00700331
Electricity (EJ)municipal water distribution,0.0152605,0.0152605
Electricity (EJ)municipal water treatment,0.0145216,0.0145216
Electricity (EJ)other industrial energy use,14.6309289,14.6309289
Electricity (EJ)refining,0.019020404,0.019020404
Electricity (EJ)resid cooling,0.594778,0.594778
Electricity (EJ)resid others,4.61768,4.61768
Electricity (EJ)trn_aviation_intl,0.00254247,0.00254247
Electricity (EJ)trn_freight,0.00458754,0.00458754
Electricity (EJ)trn_freight_road,0.91675103,0.91675103
Electricity (EJ)trn_pass,1.04112729,1.04112729
Electricity (EJ)trn_pass_road,0.00396039,0.00396039
Electricity (EJ)trn_pass_road_LDV,0.00360822,0.00360822
Electricity (EJ)trn_pass_road_LDV_4W,0.69210004,0.69210004
Electricity (EJ)trn_shipping_intl,0.00269391,0.00269391
Electricity (EJ)aluminum,0,0
Electricity (EJ)chemical energy use,0,0
Electricity (EJ)comm heating,0,0
Electricity (EJ)resid heating,0,0
Electricity (EJ)CO2 removal,0.03088536,0.03088536
Population (Thousands),681323,681323
fuel_x,a oil,a oil
Energy Consumption (EJ)a oil,0.443006,0.443006
Energy Consumption (EJ)b natural gas,0.2889529,0.2889529
Energy Consumption (EJ)c coal,0.0273336,0.0273336
Energy Consumption (EJ)d biomass,15.99258762,15.99258762
Energy Consumption (EJ)e nuclear,4.573771974,4.573771974
Energy Consumption (EJ)f hydro,0.569829,0.569829
Energy Consumption (EJ)g wind,13.9425286,13.9425286
Energy Consumption (EJ)h solar,12.71683551,12.71683551
Energy Consumption (EJ)i geothermal,0.072588178,0.072588178
Energy Consumption (EJ)j traditional biomass,1.060222,1.060222
gcam-consumer,FoodDemand,FoodDemand
nodeinput,FoodDemand,FoodDemand
Food Price Staple/Nonstaple,FoodDemand_Staples,FoodDemand_NonStaples
Food Price (2005$/Mcal/day),0.146492,0.78391
sector_x,FoodDemand_NonStaples,FoodDemand_NonStaples
output_x,FoodDemand_NonStaples,FoodDemand_NonStaples
Food Consumption By Type (Pcal) NonStaples,541.1558,541.1558
sector_y,FoodDemand_Staples,FoodDemand_Staples
output_y,FoodDemand_Staples,FoodDemand_Staples
Food Consumption By Type (Pcal) Staples,249.9299,249.9299
Total Food Consumption (Pcal),791.0857,791.0857
