"","Units","scenario","region","input","year","value","rundate"
"1","km^3","Reference","Africa_Eastern","water_td_an_C",1975,0.062456024902,2024-02-05 11:54:21
"2","km^3","Reference","Africa_Eastern","water_td_an_C",1990,2.69706344,2024-02-05 11:54:21
"3","km^3","Reference","Africa_Eastern","water_td_an_C",2005,4.5409123,2024-02-05 11:54:21
"4","km^3","Reference","Africa_Eastern","water_td_an_C",2010,5.22457885,2024-02-05 11:54:21
"5","km^3","Reference","Africa_Eastern","water_td_an_C",2015,5.71423152,2024-02-05 11:54:21
"6","km^3","Reference","Africa_Eastern","water_td_an_C",2020,6.47416463,2024-02-05 11:54:21
"7","km^3","Reference","Africa_Eastern","water_td_an_C",2025,7.41194036,2024-02-05 11:54:21
"8","km^3","Reference","Africa_Eastern","water_td_an_C",2030,8.78232675,2024-02-05 11:54:21
"9","km^3","Reference","Africa_Eastern","water_td_an_C",2035,10.36695984,2024-02-05 11:54:21
"10","km^3","Reference","Africa_Eastern","water_td_an_C",2040,12.04961282,2024-02-05 11:54:21
"11","km^3","Reference","Africa_Eastern","water_td_an_C",2045,13.7034772,2024-02-05 11:54:21
"12","km^3","Reference","Africa_Eastern","water_td_an_C",2050,15.2167271,2024-02-05 11:54:21
"13","km^3","Reference","Africa_Eastern","water_td_an_C",2055,16.5129635,2024-02-05 11:54:21
"14","km^3","Reference","Africa_Eastern","water_td_an_C",2060,17.5909123,2024-02-05 11:54:21
"15","km^3","Reference","Africa_Eastern","water_td_an_C",2065,18.4746076,2024-02-05 11:54:21
"16","km^3","Reference","Africa_Eastern","water_td_an_C",2070,19.1874912,2024-02-05 11:54:21
"17","km^3","Reference","Africa_Eastern","water_td_an_C",2075,19.7474243,2024-02-05 11:54:21
"18","km^3","Reference","Africa_Eastern","water_td_an_C",2080,20.1661678,2024-02-05 11:54:21
"19","km^3","Reference","Africa_Eastern","water_td_an_C",2085,20.4675954,2024-02-05 11:54:21
"20","km^3","Reference","Africa_Eastern","water_td_an_C",2090,20.6629023,2024-02-05 11:54:21
"21","km^3","Reference","Africa_Eastern","water_td_an_C",2095,20.7591771,2024-02-05 11:54:21
"22","km^3","Reference","Africa_Eastern","water_td_an_C",2100,20.7406812,2024-02-05 11:54:21
"23","km^3","Reference","Africa_Eastern","water_td_elec_C",1990,0.11315032025,2024-02-05 11:54:21
"24","km^3","Reference","Africa_Eastern","water_td_elec_C",2005,0.203678150461,2024-02-05 11:54:21
"25","km^3","Reference","Africa_Eastern","water_td_elec_C",2010,0.339703413126,2024-02-05 11:54:21
"26","km^3","Reference","Africa_Eastern","water_td_elec_C",2015,0.508277320074,2024-02-05 11:54:21
"27","km^3","Reference","Africa_Eastern","water_td_elec_C",2020,0.684700116747023,2024-02-05 11:54:21
"28","km^3","Reference","Africa_Eastern","water_td_elec_C",2025,0.863482639701023,2024-02-05 11:54:21
"29","km^3","Reference","Africa_Eastern","water_td_elec_C",2030,1.10189848722952,2024-02-05 11:54:21
"30","km^3","Reference","Africa_Eastern","water_td_elec_C",2035,1.38814027706052,2024-02-05 11:54:21
"31","km^3","Reference","Africa_Eastern","water_td_elec_C",2040,1.76249292690052,2024-02-05 11:54:21
"32","km^3","Reference","Africa_Eastern","water_td_elec_C",2045,2.24025567236892,2024-02-05 11:54:21
"33","km^3","Reference","Africa_Eastern","water_td_elec_C",2050,2.819294958916,2024-02-05 11:54:21
"34","km^3","Reference","Africa_Eastern","water_td_elec_C",2055,3.4950682651576,2024-02-05 11:54:21
"35","km^3","Reference","Africa_Eastern","water_td_elec_C",2060,4.247912102454,2024-02-05 11:54:21
"36","km^3","Reference","Africa_Eastern","water_td_elec_C",2065,5.046657164057,2024-02-05 11:54:21
"37","km^3","Reference","Africa_Eastern","water_td_elec_C",2070,5.861398680121,2024-02-05 11:54:21
"38","km^3","Reference","Africa_Eastern","water_td_elec_C",2075,6.65243852385,2024-02-05 11:54:21
"39","km^3","Reference","Africa_Eastern","water_td_elec_C",2080,7.392487903374,2024-02-05 11:54:21
"40","km^3","Reference","Africa_Eastern","water_td_elec_C",2085,8.08645914974,2024-02-05 11:54:21
"41","km^3","Reference","Africa_Eastern","water_td_elec_C",2090,8.70383126656,2024-02-05 11:54:21
"42","km^3","Reference","Africa_Eastern","water_td_elec_C",2095,9.22697233253,2024-02-05 11:54:21
"43","km^3","Reference","Africa_Eastern","water_td_elec_C",2100,9.62561614257,2024-02-05 11:54:21
"44","km^3","Reference","Africa_Eastern","water_td_ind_C",1975,0.00602799,2024-02-05 11:54:21
"45","km^3","Reference","Africa_Eastern","water_td_ind_C",1990,0.0146842,2024-02-05 11:54:21
"46","km^3","Reference","Africa_Eastern","water_td_ind_C",2005,0.0272231,2024-02-05 11:54:21
"47","km^3","Reference","Africa_Eastern","water_td_ind_C",2010,0.034617,2024-02-05 11:54:21
"48","km^3","Reference","Africa_Eastern","water_td_ind_C",2015,0.0556522,2024-02-05 11:54:21
"49","km^3","Reference","Africa_Eastern","water_td_ind_C",2020,0.0688943,2024-02-05 11:54:21
"50","km^3","Reference","Africa_Eastern","water_td_ind_C",2025,0.093207270099,2024-02-05 11:54:21
"51","km^3","Reference","Africa_Eastern","water_td_ind_C",2030,0.1427565206965,2024-02-05 11:54:21
"52","km^3","Reference","Africa_Eastern","water_td_ind_C",2035,0.21740922649743,2024-02-05 11:54:21
"53","km^3","Reference","Africa_Eastern","water_td_ind_C",2040,0.3166367901659,2024-02-05 11:54:21
"54","km^3","Reference","Africa_Eastern","water_td_ind_C",2045,0.43911513939597,2024-02-05 11:54:21
"55","km^3","Reference","Africa_Eastern","water_td_ind_C",2050,0.58413328484879,2024-02-05 11:54:21
"56","km^3","Reference","Africa_Eastern","water_td_ind_C",2055,0.74740178791362,2024-02-05 11:54:21
"57","km^3","Reference","Africa_Eastern","water_td_ind_C",2060,0.92075545239562,2024-02-05 11:54:21
"58","km^3","Reference","Africa_Eastern","water_td_ind_C",2065,1.09333662360644,2024-02-05 11:54:21
"59","km^3","Reference","Africa_Eastern","water_td_ind_C",2070,1.2555356774874,2024-02-05 11:54:21
"60","km^3","Reference","Africa_Eastern","water_td_ind_C",2075,1.399158167824,2024-02-05 11:54:21
"61","km^3","Reference","Africa_Eastern","water_td_ind_C",2080,1.517963302267,2024-02-05 11:54:21
"62","km^3","Reference","Africa_Eastern","water_td_ind_C",2085,1.613588186526,2024-02-05 11:54:21
"63","km^3","Reference","Africa_Eastern","water_td_ind_C",2090,1.690802557117,2024-02-05 11:54:21
"64","km^3","Reference","Africa_Eastern","water_td_ind_C",2095,1.747280364526,2024-02-05 11:54:21
"65","km^3","Reference","Africa_Eastern","water_td_ind_C",2100,1.784475992196,2024-02-05 11:54:21
"66","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",1975,0.08076438587,2024-02-05 11:54:21
"67","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",1990,0.0937056924,2024-02-05 11:54:21
"68","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2005,0.12160723817,2024-02-05 11:54:21
"69","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2010,0.13998596302,2024-02-05 11:54:21
"70","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2015,0.17079912095,2024-02-05 11:54:21
"71","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2020,0.17107805476,2024-02-05 11:54:21
"72","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2025,0.186564141685,2024-02-05 11:54:21
"73","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2030,0.210284023255,2024-02-05 11:54:21
"74","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2035,0.218329873571,2024-02-05 11:54:21
"75","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2040,0.226046225222,2024-02-05 11:54:21
"76","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2045,0.236805631815,2024-02-05 11:54:21
"77","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2050,0.246851741425,2024-02-05 11:54:21
"78","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2055,0.269257889389,2024-02-05 11:54:21
"79","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2060,0.289181477088,2024-02-05 11:54:21
"80","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2065,0.306375338049,2024-02-05 11:54:21
"81","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2070,0.321137940233,2024-02-05 11:54:21
"82","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2075,0.333345242947,2024-02-05 11:54:21
"83","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2080,0.342749214729,2024-02-05 11:54:21
"84","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2085,0.349467429831,2024-02-05 11:54:21
"85","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2090,0.353150369331,2024-02-05 11:54:21
"86","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2095,0.353741544938,2024-02-05 11:54:21
"87","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstE_C",2100,0.352489226669,2024-02-05 11:54:21
"88","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",1975,0.10295638767,2024-02-05 11:54:21
"89","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",1990,0.1300069565,2024-02-05 11:54:21
"90","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2005,0.1786208725033,2024-02-05 11:54:21
"91","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2010,0.187129878083,2024-02-05 11:54:21
"92","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2015,0.22387709742,2024-02-05 11:54:21
"93","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2020,0.241815778877,2024-02-05 11:54:21
"94","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2025,0.259926547795,2024-02-05 11:54:21
"95","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2030,0.2692893910043,2024-02-05 11:54:21
"96","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2035,0.2733955754269,2024-02-05 11:54:21
"97","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2040,0.2710981944275,2024-02-05 11:54:21
"98","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2045,0.2773862300222,2024-02-05 11:54:21
"99","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2050,0.2865769200204,2024-02-05 11:54:21
"100","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2055,0.3091529896105,2024-02-05 11:54:21
"101","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2060,0.3456484803596,2024-02-05 11:54:21
"102","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2065,0.3748320794275,2024-02-05 11:54:21
"103","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2070,0.3986000788044,2024-02-05 11:54:21
"104","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2075,0.4170892874409,2024-02-05 11:54:21
"105","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2080,0.4311054416981,2024-02-05 11:54:21
"106","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2085,0.4414317782171,2024-02-05 11:54:21
"107","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2090,0.4469213672044,2024-02-05 11:54:21
"108","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2095,0.4474642940134,2024-02-05 11:54:21
"109","km^3","Reference","Africa_Eastern","water_td_irr_AfrCstNE_C",2100,0.4455224181076,2024-02-05 11:54:21
"110","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",1975,0.07188493249615,2024-02-05 11:54:21
"111","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",1990,0.0881281325923,2024-02-05 11:54:21
"112","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2005,0.125294083094,2024-02-05 11:54:21
"113","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2010,0.1677184767003,2024-02-05 11:54:21
"114","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2015,0.1517160443051,2024-02-05 11:54:21
"115","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2020,0.15657138838883,2024-02-05 11:54:21
"116","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2025,0.16062843065991,2024-02-05 11:54:21
"117","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2030,0.1596364581384,2024-02-05 11:54:21
"118","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2035,0.16730703504819,2024-02-05 11:54:21
"119","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2040,0.17280718438503,2024-02-05 11:54:21
"120","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2045,0.17568705193209,2024-02-05 11:54:21
"121","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2050,0.17705073103768,2024-02-05 11:54:21
"122","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2055,0.16982440564164,2024-02-05 11:54:21
"123","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2060,0.1630326655608,2024-02-05 11:54:21
"124","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2065,0.156462570396,2024-02-05 11:54:21
"125","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2070,0.15049199067923,2024-02-05 11:54:21
"126","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2075,0.14535214338636,2024-02-05 11:54:21
"127","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2080,0.14094221892985,2024-02-05 11:54:21
"128","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2085,0.13661528386197,2024-02-05 11:54:21
"129","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2090,0.13240951499408,2024-02-05 11:54:21
"130","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2095,0.12828024922897,2024-02-05 11:54:21
"131","km^3","Reference","Africa_Eastern","water_td_irr_CongoR_C",2100,0.12418759550941,2024-02-05 11:54:21
"132","km^3","Reference","Africa_Eastern","water_td_irr_LChad_C",1975,0.01665962898,2024-02-05 11:54:21
"133","km^3","Reference","Africa_Eastern","water_td_irr_LChad_C",1990,0.01638350925,2024-02-05 11:54:21
