"","Units","scenario","region","input","year","value","rundate"
"1","km^3","Policytest","Africa_Eastern","water_td_an_C",1975,0.062456024902,2024-03-25 13:48:39
"2","km^3","Policytest","Africa_Eastern","water_td_an_C",1990,2.69706344,2024-03-25 13:48:39
"3","km^3","Policytest","Africa_Eastern","water_td_an_C",2005,4.5409123,2024-03-25 13:48:39
"4","km^3","Policytest","Africa_Eastern","water_td_an_C",2010,5.22457885,2024-03-25 13:48:39
"5","km^3","Policytest","Africa_Eastern","water_td_an_C",2015,5.71423152,2024-03-25 13:48:39
"6","km^3","Policytest","Africa_Eastern","water_td_an_C",2020,6.52477951,2024-03-25 13:48:39
"7","km^3","Policytest","Africa_Eastern","water_td_an_C",2025,7.52417234,2024-03-25 13:48:39
"8","km^3","Policytest","Africa_Eastern","water_td_an_C",2030,8.78716218,2024-03-25 13:48:39
"9","km^3","Policytest","Africa_Eastern","water_td_an_C",2035,10.1465851,2024-03-25 13:48:39
"10","km^3","Policytest","Africa_Eastern","water_td_an_C",2040,11.61608171,2024-03-25 13:48:39
"11","km^3","Policytest","Africa_Eastern","water_td_an_C",2045,13.146763,2024-03-25 13:48:39
"12","km^3","Policytest","Africa_Eastern","water_td_an_C",2050,14.6670506,2024-03-25 13:48:39
"13","km^3","Policytest","Africa_Eastern","water_td_an_C",2055,16.094156,2024-03-25 13:48:39
"14","km^3","Policytest","Africa_Eastern","water_td_an_C",2060,17.4033653,2024-03-25 13:48:39
"15","km^3","Policytest","Africa_Eastern","water_td_an_C",2065,18.5847945,2024-03-25 13:48:39
"16","km^3","Policytest","Africa_Eastern","water_td_an_C",2070,19.6395258,2024-03-25 13:48:39
"17","km^3","Policytest","Africa_Eastern","water_td_an_C",2075,20.5662164,2024-03-25 13:48:39
"18","km^3","Policytest","Africa_Eastern","water_td_an_C",2080,21.382541,2024-03-25 13:48:39
"19","km^3","Policytest","Africa_Eastern","water_td_an_C",2085,22.0998016,2024-03-25 13:48:39
"20","km^3","Policytest","Africa_Eastern","water_td_an_C",2090,22.6821881,2024-03-25 13:48:39
"21","km^3","Policytest","Africa_Eastern","water_td_an_C",2095,23.0909407,2024-03-25 13:48:39
